athlete_id,name,name_alt,date_of_birth,gender,nations
5051,FERNANDES Toni,NA,1900-01-01,M,LUX
5524,GEHLEN Christophe,NA,1900-01-01,M,LUX
7933,KEBA Ingolf,NA,1900-01-01,M,GER
12748,PERPIGLIA Nicolas,NA,1900-01-01,M,SMR
14649,SCHEMBRI Emanuel,NA,1900-01-01,M,MLT
2793,CAMACHO Francy,NA,1900-01-01,W,VEN
17876,ZAORSKA Agnieszka,NA,1900-01-01,W,POL
15498,SRINIVASA Rao,NA,1950-01-01,M,IND
16131,TEPETOV Konstantinos,NA,1955-01-01,M,GRE
15488,SPRONK- van der Boon Mariet,NA,1955-04-13,W,NED
16782,VALENZUELA Daniel,NA,1955-06-07,M,MEX
15124,SILVA HEREDIA Tania Irasema,NA,1955-06-08,W,MEX
12152,ORENDAIN BECERRA Alejandra Leticia,NA,1955-06-09,W,MEX
8661,KRETTLY Marc,NA,1956-01-01,M,MON
849,ALLISON Heather Patricia,NA,1956-04-20,W,GBR
7495,JORGE Maria Elizabet,NA,1957-04-20,W,BRA
16817,VAN Dam- Cramer Eugenie,NA,1959-04-17,W,NED
7497,JORGENSEN Hans,NA,1960-03-27,M,DEN
16820,VAN der Stoep Yvonne,NA,1960-05-02,W,NED
6479,HERAK Peter,NA,1960-12-23,M,SVK
14566,SARKISIAN Yurik,NA,1961-01-01,M,AUS
2822,CAMPBELL Annette Doreen,NA,1961-10-24,W,GBR
7090,IP Wing-Yuk,NA,1961-11-11,W,HKG
2949,CASAPU Tudor,NA,1963-01-01,M,MDA
8129,KHRAPATYY Anatoliy,NA,1963-01-01,M,KAZ
4131,DENISOV Andrei,NA,1963-06-03,M,ISR
9387,LINDQUIST Mats,NA,1963-07-09,M,SWE
10528,MELO Julio,NA,1963-11-13,M,CHI
8667,KRISTJANSSON Gisli,NA,1964-01-01,M,ISL
12716,PEREZ Frank Alexis,NA,1964-07-10,M,DOM
3446,CHRISTOFORIDOU Maria Parthena,NA,1964-08-12,W,GRE
11039,MOOSDORF Rikke,NA,1964-09-02,W,DEN
5042,FENZL Edith,NA,1964-09-04,W,AUT
2460,BOZO Kristo,NA,1964-12-18,M,CRO
1076,AMETE Luaki,NA,1965-01-01,M,NCL
2079,BEN Medjghaia Ali,NA,1965-01-01,M,ALG
16678,URRUTIA Maria Isabel,NA,1965-01-01,W,COL
17160,WALLER Danielle,NA,1965-01-01,W,AUS
10369,MAYSMOR-GEE Jennifer,NA,1965-04-25,W,GBR
2511,BRICK Theresa,NA,1965-05-04,W,CAN
10924,MOHAMMED Jiwad Saleh,NA,1965-07-01,M,IRQ
10127,MARINEAU Guy,NA,1965-07-16,M,CAN
6543,HERR Henrik,NA,1965-08-07,M,DEN
8528,KOPYTOV Sergei,NA,1965-10-05,M,KAZ
14096,RUIZ OBANDO Maria Lourdes,NA,1965-10-15,W,NCA
9841,MAGRINI Fabio,NA,1965-12-23,M,ITA
2140,BERGMANIS Raimonds,NA,1966-01-01,M,LAT
2851,CANESTRIER Jean,NA,1966-01-01,M,MON
5858,GRACA Vitor Manuel,NA,1966-01-01,M,POR
7987,KERR Joseph,NA,1966-01-01,M,IRL
8715,KUDASHEVITZ Tevika,NA,1966-01-01,M,ISR
8876,LAFUENTE Rocha Sergio,NA,1966-01-01,M,URU
14043,ROZALINA Dionisio,NA,1966-01-01,M,NED
15090,SIEMION Krzysztof,NA,1966-01-01,M,POL
15187,SINGH Dalvir,NA,1966-01-01,M,IND
15214,SIONE Alesana,NA,1966-01-01,M,ASA
17299,WERSHEFANI Abdulsala,NA,1966-01-01,M,LBA
8937,LAM Wai Yee,NA,1966-02-11,W,HKG
9191,LEONIDIS Valerios,NA,1966-02-14,M,GRE
15911,TAKACS Maria,NA,1966-03-06,W,HUN
10340,MATZKU Jurgen,NA,1966-05-28,M,AUT
10361,MAY Peter,NA,1966-06-18,M,GBR
8929,LALLY Rosien,NA,1966-06-30,W,NED
6068,GUNTALI Matin,NA,1966-07-01,M,MAS
11760,NIRO Nancy,NA,1966-09-21,W,CAN
7112,ISKIN Silvie,NA,1966-09-23,W,FRA
2142,BERGSTROM Anders,NA,1966-10-21,M,SWE
15818,SYRTSOV Sergei,NA,1966-10-25,M,RUS
8811,KUTTLER Susanne,NA,1966-12-03,W,GER
17522,YAHIAOUI Abdelmanaane,NA,1966-12-06,M,ALG
13001,POLOM Roman,NA,1966-12-17,M,CZE
15630,STROUBOU Anna,NA,1966-12-29,W,GRE
1567,AVERY Nigel,NA,1967-01-01,M,NZL
4509,DUTHIE Christopher,NA,1967-01-01,M,AUS
5832,GORTIKOV Said-Magomed,NA,1967-01-01,M,AZE
9471,LLERENA Jose,NA,1967-01-01,M,ECU
10037,MANNIRONI Sergio,NA,1967-01-01,M,ITA
15709,SULEYMANOGLU Naim,NA,1967-01-01,M,TUR
30,ABBASOVA Tarana,NA,1967-01-01,W,AZE
11914,NYKANEN Markku,NA,1967-01-07,M,FIN
12911,PIRKKIO Jaarli,NA,1967-02-12,M,FIN
6464,HENRIKSEN Anita,NA,1967-03-28,W,DEN
