rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LAI Gia Thanh,VIE,"May 03, 1998",55.00,A,119,-123,123,123,55kgMen,Snatch,577,False
2,NGO Son Dinh,VIE,"Aug 02, 2001",54.93,A,115,117,-120,117,55kgMen,Snatch,577,False
3,SOMBOON-UAN Thada,THA,"Nov 03, 2000",55.00,A,112,116,-118,116,55kgMen,Snatch,577,False
4,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",54.77,A,-114,116,-118,116,55kgMen,Snatch,577,False
5,CHOMCHUEN Natthawat,THA,"Jul 31, 2001",54.82,A,113,-116,116,116,55kgMen,Snatch,577,False
6,NUGROHO Satrio Adi,INA,"May 18, 2004",54.98,A,107,112,115,115,55kgMen,Snatch,577,False
7,SHAMILISHVILI Ramini,GEO,"May 11, 1994",54.88,A,-112,-112,112,112,55kgMen,Snatch,577,False
8,RAMIARIMANANA Jean Elariont Ricardo,MAD,"Jul 22, 1999",54.76,B,100,-108,110,110,55kgMen,Snatch,577,False
9,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Apr 23, 1994",54.92,B,104,107,-110,107,55kgMen,Snatch,577,False
10,ALPYSSOV Yernaz,KAZ,"Sep 29, 2002",55.00,B,102,106,-109,106,55kgMen,Snatch,577,False
11,SUAREZ MESA Miguel Angel,COL,"Sep 14, 1999",55.00,A,102,106,-108,106,55kgMen,Snatch,577,False
12,LUCA Marian-Cristian,ROU,"Feb 16, 1999",55.00,B,100,105,-110,105,55kgMen,Snatch,577,False
13,USUKHBAYAR Chagnaadorj,MGL,"May 06, 1997",55.00,B,-103,103,-109,103,55kgMen,Snatch,577,False
14,BARCO RANGEL Juan Antonio,MEX,"Nov 08, 2002",55.00,B,98,101,103,103,55kgMen,Snatch,577,False
15,DANEV Deniz Gretov,BUL,"Jun 26, 2003",54.93,B,101,-105,-105,101,55kgMen,Snatch,577,False
16,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",54.91,B,-100,100,-103,100,55kgMen,Snatch,577,False
17,GHANEM Amjad Abdrabalnabi J,KSA,"Aug 20, 2004",54.80,B,93,- 98,98,98,55kgMen,Snatch,577,False
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",54.76,A,-113,-113,-114,---,55kgMen,Snatch,577,False
1,LAI Gia Thanh,VIE,"May 03, 1998",55.00,A,142,-145,146,146,55kgMen,CleanJerk,577,False
2,NGO Son Dinh,VIE,"Aug 02, 2001",54.93,A,140,-144,144,144,55kgMen,CleanJerk,577,False
3,CHOMCHUEN Natthawat,THA,"Jul 31, 2001",54.82,A,143,-146,-147,143,55kgMen,CleanJerk,577,False
4,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",54.77,A,-140,143,-147,143,55kgMen,CleanJerk,577,False
5,SOMBOON-UAN Thada,THA,"Nov 03, 2000",55.00,A,130,136,-142,136,55kgMen,CleanJerk,577,False
6,NUGROHO Satrio Adi,INA,"May 18, 2004",54.98,A,135,-141,-141,135,55kgMen,CleanJerk,577,False
7,BARCO RANGEL Juan Antonio,MEX,"Nov 08, 2002",55.00,B,130,134,-137,134,55kgMen,CleanJerk,577,False
8,USUKHBAYAR Chagnaadorj,MGL,"May 06, 1997",55.00,B,128,133,-137,133,55kgMen,CleanJerk,577,False
9,SUAREZ MESA Miguel Angel,COL,"Sep 14, 1999",55.00,A,133,-140,-141,133,55kgMen,CleanJerk,577,False
10,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",54.91,B,128,132,-134,132,55kgMen,CleanJerk,577,False
11,SHAMILISHVILI Ramini,GEO,"May 11, 1994",54.88,A,131,-137,-137,131,55kgMen,CleanJerk,577,False
12,RAMIARIMANANA Jean Elariont Ricardo,MAD,"Jul 22, 1999",54.76,B,130,-138,-138,130,55kgMen,CleanJerk,577,False
13,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Apr 23, 1994",54.92,B,-130,130,-135,130,55kgMen,CleanJerk,577,False
14,DANEV Deniz Gretov,BUL,"Jun 26, 2003",54.93,B,-130,-130,130,130,55kgMen,CleanJerk,577,False
15,ALPYSSOV Yernaz,KAZ,"Sep 29, 2002",55.00,B,-127,127,-132,127,55kgMen,CleanJerk,577,False
16,LUCA Marian-Cristian,ROU,"Feb 16, 1999",55.00,B,-125,125,-131,125,55kgMen,CleanJerk,577,False
17,GHANEM Amjad Abdrabalnabi J,KSA,"Aug 20, 2004",54.80,B,115,122,-127,122,55kgMen,CleanJerk,577,False
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",54.76,A,---,---,---,---,55kgMen,CleanJerk,577,False
1,LAI Gia Thanh,VIE,"May 03, 1998",55.00,A,123,146,269,---,55kgMen,Total,577,False
2,NGO Son Dinh,VIE,"Aug 02, 2001",54.93,A,117,144,261,---,55kgMen,Total,577,False
3,CHOMCHUEN Natthawat,THA,"Jul 31, 2001",54.82,A,116,143,259,---,55kgMen,Total,577,False
4,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",54.77,A,116,143,259,---,55kgMen,Total,577,False
5,SOMBOON-UAN Thada,THA,"Nov 03, 2000",55.00,A,116,136,252,---,55kgMen,Total,577,False
6,NUGROHO Satrio Adi,INA,"May 18, 2004",54.98,A,115,135,250,---,55kgMen,Total,577,False
7,SHAMILISHVILI Ramini,GEO,"May 11, 1994",54.88,A,112,131,243,---,55kgMen,Total,577,False
8,RAMIARIMANANA Jean Elariont Ricardo,MAD,"Jul 22, 1999",54.76,B,110,130,240,---,55kgMen,Total,577,False
9,SUAREZ MESA Miguel Angel,COL,"Sep 14, 1999",55.00,A,106,133,239,---,55kgMen,Total,577,False
10,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Apr 23, 1994",54.92,B,107,130,237,---,55kgMen,Total,577,False
11,BARCO RANGEL Juan Antonio,MEX,"Nov 08, 2002",55.00,B,103,134,237,---,55kgMen,Total,577,False
12,USUKHBAYAR Chagnaadorj,MGL,"May 06, 1997",55.00,B,103,133,236,---,55kgMen,Total,577,False
13,ALPYSSOV Yernaz,KAZ,"Sep 29, 2002",55.00,B,106,127,233,---,55kgMen,Total,577,False
14,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",54.91,B,100,132,232,---,55kgMen,Total,577,False
15,DANEV Deniz Gretov,BUL,"Jun 26, 2003",54.93,B,101,130,231,---,55kgMen,Total,577,False
16,LUCA Marian-Cristian,ROU,"Feb 16, 1999",55.00,B,105,125,230,---,55kgMen,Total,577,False
17,GHANEM Amjad Abdrabalnabi J,KSA,"Aug 20, 2004",54.80,B,98,122,220,---,55kgMen,Total,577,False
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",54.76,A,---,---,---,---,55kgMen,Total,577,False
1,LI Fabin,CHN,"Jan 15, 1993",61.00,A,137,141,-146,141,61kgMen,Snatch,577,False
2,MASSIDDA Sergio,ITA,"Jan 26, 2002",61.00,A,135,137,-139,137,61kgMen,Snatch,577,False
3,MISHVELIDZE Shota,GEO,"Oct 18, 1994",61.00,A,132,-136,136,136,61kgMen,Snatch,577,False
4,DING Hongjie,CHN,"Jan 30, 2002",61.00,B,135,-139,-139,135,61kgMen,Snatch,577,False
5,SAPUTRA Ricko,INA,"Jan 21, 2000",61.00,A,129,-134,134,134,61kgMen,Snatch,577,False
6,BRANDHUBER Simon Josef,GER,"Jun 27, 1991",61.00,B,130,133,-135,133,61kgMen,Snatch,577,False
7,DIMOV Ivan,BUL,"Apr 12, 2002",61.00,A,133,-136,-137,133,61kgMen,Snatch,577,False
8,CENIZA John Febuar,PHI,"Feb 07, 1998",60.75,B,128,131,-133,131,61kgMen,Snatch,577,False
9,BERDELIDZE Goderdzi,GEO,"Jul 14, 1996",61.00,B,123,126,130,130,61kgMen,Snatch,577,False
10,CHOMCHUEN Teerapat,THA,"Jul 31, 2001",60.57,A,130,-133,-133,130,61kgMen,Snatch,577,False
11,TRINH Van Vinh,VIE,"Dec 17, 1995",61.00,A,126,130,-132,130,61kgMen,Snatch,577,False
12,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",61.00,D,-125,125,129,129,61kgMen,Snatch,577,False
13,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",60.97,A,129,-133,-133,129,61kgMen,Snatch,577,False
14,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",61.00,B,121,-126,126,126,61kgMen,Snatch,577,False
15,ERGASHEV Adkhamjon,UZB,"Mar 12, 1999",61.00,A,126,-130,-130,126,61kgMen,Snatch,577,False
16,SHIN Rok,KOR,"Jul 08, 2002",60.83,D,120,125,-130,125,61kgMen,Snatch,577,False
17,KAO Chan-Hung,TPE,"Oct 03, 1993",60.96,C,122,125,-127,125,61kgMen,Snatch,577,False
18,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",60.84,C,122,125,-127,125,61kgMen,Snatch,577,False
19,LUNGU Daniel,MDA,"Oct 16, 1998",61.00,C,120,124,-126,124,61kgMen,Snatch,577,False
20,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.85,B,120,-124,124,124,61kgMen,Snatch,577,False
21,BARU Morea,PNG,"Apr 15, 1990",61.00,C,120,-123,-123,120,61kgMen,Snatch,577,False
