rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,ALGUL Harun,TUR,"Nov 03, 2003",54.55,A,97,100,103,103,55kgMen,Snatch,579,False
2,BETCA Iulian,MDA,"Aug 17, 2003",54.30,A,94,97,99,99,55kgMen,Snatch,579,False
3,REVKO Andrii,UKR,"Jun 25, 2003",54.70,A,93,96,98,98,55kgMen,Snatch,579,False
4,KHUDANYAN Seyran,ARM,"Aug 10, 2004",54.70,A,-95,-95,95,95,55kgMen,Snatch,579,False
5,SIMEONOV Nino Violetov,BUL,"Apr 10, 2007",54.65,A,-93,93,-95,93,55kgMen,Snatch,579,False
6,PAPOLTI Narcis,ROU,"Feb 09, 2007",54.70,A,90,-95,-95,90,55kgMen,Snatch,579,False
7,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.00,A,81,85,87,87,55kgMen,Snatch,579,False
---,COMERZAN Andrian,MDA,"Oct 11, 2005",54.70,A,-90,-90,-90,---,55kgMen,Snatch,579,False
1,ALGUL Harun,TUR,"Nov 03, 2003",54.55,A,-120,120,123,123,55kgMen,CleanJerk,579,False
2,REVKO Andrii,UKR,"Jun 25, 2003",54.70,A,117,121,-129,121,55kgMen,CleanJerk,579,False
3,KHUDANYAN Seyran,ARM,"Aug 10, 2004",54.70,A,-121,-121,121,121,55kgMen,CleanJerk,579,False
4,BETCA Iulian,MDA,"Aug 17, 2003",54.30,A,115,-118,-120,115,55kgMen,CleanJerk,579,False
5,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.00,A,101,108,112,112,55kgMen,CleanJerk,579,False
6,COMERZAN Andrian,MDA,"Oct 11, 2005",54.70,A,107,-112,112,112,55kgMen,CleanJerk,579,False
7,SIMEONOV Nino Violetov,BUL,"Apr 10, 2007",54.65,A,107,111,-113,111,55kgMen,CleanJerk,579,False
8,PAPOLTI Narcis,ROU,"Feb 09, 2007",54.70,A,110,-115,-115,110,55kgMen,CleanJerk,579,False
1,ALGUL Harun,TUR,"Nov 03, 2003",54.55,A,103,123,226,---,55kgMen,Total,579,False
2,REVKO Andrii,UKR,"Jun 25, 2003",54.70,A,98,121,219,---,55kgMen,Total,579,False
3,KHUDANYAN Seyran,ARM,"Aug 10, 2004",54.70,A,95,121,216,---,55kgMen,Total,579,False
4,BETCA Iulian,MDA,"Aug 17, 2003",54.30,A,99,115,214,---,55kgMen,Total,579,False
5,SIMEONOV Nino Violetov,BUL,"Apr 10, 2007",54.65,A,93,111,204,---,55kgMen,Total,579,False
6,PAPOLTI Narcis,ROU,"Feb 09, 2007",54.70,A,90,110,200,---,55kgMen,Total,579,False
7,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.00,A,87,112,199,---,55kgMen,Total,579,False
