rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",54.90,A,97,100,103,103,55kgMen,Snatch,581,False
2,REVKO Andrii,UKR,"Jun 25, 2003",54.75,A,94,98,100,100,55kgMen,Snatch,581,False
3,KOUSAKA Kento,JPN,"Feb 11, 2006",55.00,A,93,97,-100,97,55kgMen,Snatch,581,False
4,ALEMAN JUAREZ Wilfredo,MEX,"Aug 22, 2006",54.90,A,94,- 98,- 99,94,55kgMen,Snatch,581,False
5,RIOS CHUMBE Nol Jermis,PER,"Aug 21, 2004",55.00,A,- 94,94,- 98,94,55kgMen,Snatch,581,False
6,TANG Chun-Yen,TPE,"Oct 14, 2005",55.00,A,85,88,91,91,55kgMen,Snatch,581,False
7,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.15,A,82,85,89,89,55kgMen,Snatch,581,False
1,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",54.90,A,125,129,131,131,55kgMen,CleanJerk,581,False
2,KOUSAKA Kento,JPN,"Feb 11, 2006",55.00,A,120,125,130,130,55kgMen,CleanJerk,581,False
3,ALEMAN JUAREZ Wilfredo,MEX,"Aug 22, 2006",54.90,A,117,121,-126,121,55kgMen,CleanJerk,581,False
4,REVKO Andrii,UKR,"Jun 25, 2003",54.75,A,120,-125,-125,120,55kgMen,CleanJerk,581,False
5,TANG Chun-Yen,TPE,"Oct 14, 2005",55.00,A,115,120,-124,120,55kgMen,CleanJerk,581,False
6,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.15,A,107,112,116,116,55kgMen,CleanJerk,581,False
7,RIOS CHUMBE Nol Jermis,PER,"Aug 21, 2004",55.00,A,-110,-111,111,111,55kgMen,CleanJerk,581,False
1,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",54.90,A,103,131,234,---,55kgMen,Total,581,False
2,KOUSAKA Kento,JPN,"Feb 11, 2006",55.00,A,97,130,227,---,55kgMen,Total,581,False
3,REVKO Andrii,UKR,"Jun 25, 2003",54.75,A,100,120,220,---,55kgMen,Total,581,False
4,ALEMAN JUAREZ Wilfredo,MEX,"Aug 22, 2006",54.90,A,94,121,215,---,55kgMen,Total,581,False
5,TANG Chun-Yen,TPE,"Oct 14, 2005",55.00,A,91,120,211,---,55kgMen,Total,581,False
6,RIOS CHUMBE Nol Jermis,PER,"Aug 21, 2004",55.00,A,94,111,205,---,55kgMen,Total,581,False
7,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.15,A,89,116,205,---,55kgMen,Total,581,False
1,CHHUM Gabriel John,USA,"Jan 31, 2004",60.80,A,112,117,-121,117,61kgMen,Snatch,581,False
2,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.05,A,105,109,113,113,61kgMen,Snatch,581,False
3,ELARABY Elsayed Aly Elsayed Attia,EGY,"Jan 02, 2006",59.15,A,107,111,-114,111,61kgMen,Snatch,581,False
4,TUN DZIB Adolfo Angel,MEX,"Sep 23, 2004",60.75,A,97,102,-105,102,61kgMen,Snatch,581,False
1,CHHUM Gabriel John,USA,"Jan 31, 2004",60.80,A,-142,143,145,145,61kgMen,CleanJerk,581,False
2,ELARABY Elsayed Aly Elsayed Attia,EGY,"Jan 02, 2006",59.15,A,138,143,-148,143,61kgMen,CleanJerk,581,False
3,TUN DZIB Adolfo Angel,MEX,"Sep 23, 2004",60.75,A,141,-145,-147,141,61kgMen,CleanJerk,581,False
4,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.05,A,135,-139,-139,135,61kgMen,CleanJerk,581,False
1,CHHUM Gabriel John,USA,"Jan 31, 2004",60.80,A,117,145,262,---,61kgMen,Total,581,False
2,ELARABY Elsayed Aly Elsayed Attia,EGY,"Jan 02, 2006",59.15,A,111,143,254,---,61kgMen,Total,581,False
3,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.05,A,113,135,248,---,61kgMen,Total,581,False
4,TUN DZIB Adolfo Angel,MEX,"Sep 23, 2004",60.75,A,102,141,243,---,61kgMen,Total,581,False
1,SAHAKYAN Gor,ARM,"Sep 01, 2003",66.90,A,135,140,-147,140,67kgMen,Snatch,581,False
2,PAPOU Yahor,AIN,"Sep 15, 2003",66.70,A,-130,130,136,136,67kgMen,Snatch,581,False
3,CARRAZCO CETZ Herseleid Antonio,MEX,"Jun 10, 2004",67.00,B,122,127,130,130,67kgMen,Snatch,581,False
4,ABDELBARI Helmi Abdelbari Helmi,EGY,"Dec 20, 2004",66.95,A,124,-127,127,127,67kgMen,Snatch,581,False
5,HRYNKO Yahor,AIN,"Sep 26, 2004",66.00,A,123,-126,126,126,67kgMen,Snatch,581,False
