rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",56.18,B,100,106,-112,106,61kgMen,Snatch,582,False
---,USUKHBAYAR Chagnaadorj,MGL,"May 06, 1997",59.79,B,104,-108,-110,104,61kgMen,Snatch,582,False
---,SILACHAI Theerapong,THA,"Nov 19, 2003",61.00,A,-128,-128,-128,---,61kgMen,Snatch,582,False
---,DING Hongjie,CHN,"Jan 30, 2002",60.99,A,-133,-133,-133,---,61kgMen,Snatch,582,False
---,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",61.00,A,124,128,130,130,61kgMen,Snatch,582,False
---,HIRAI Kaito,JPN,"Sep 16, 1998",60.82,B,112,117,-120,117,61kgMen,Snatch,582,False
---,KAO Chan-Hung,TPE,"Oct 03, 1993",60.99,B,118,121,124,124,61kgMen,Snatch,582,False
---,SAPUTRA Ricko,INA,"Jan 21, 2000",61.00,A,-128,-128,128,128,61kgMen,Snatch,582,False
---,TRINH Van Vinh,VIE,"Dec 17, 1995",61.00,A,128,-131,-132,128,61kgMen,Snatch,582,False
---,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",61.00,A,129,-132,132,132,61kgMen,Snatch,582,False
---,CENIZA John Febuar,PHI,"Feb 07, 1998",61.00,A,128,131,134,134,61kgMen,Snatch,582,False
---,KIM Chung Guk,PRK,"Jun 17, 1999",61.00,A,-127,-127,127,127,61kgMen,Snatch,582,False
---,LI Fabin,CHN,"Jan 15, 1993",61.00,A,137,141,143,143,61kgMen,Snatch,582,False
---,PAK Myong Jin,PRK,"Apr 02, 2003",61.00,A,131,-136,136,136,61kgMen,Snatch,582,False
---,SANO Kyotaro,JPN,"Nov 16, 2002",60.99,B,116,121,-126,121,61kgMen,Snatch,582,False
---,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",56.18,B,130,135,-140,135,61kgMen,CleanJerk,582,False
---,USUKHBAYAR Chagnaadorj,MGL,"May 06, 1997",59.79,B,-135,-135,-135,---,61kgMen,CleanJerk,582,False
---,SILACHAI Theerapong,THA,"Nov 19, 2003",61.00,A,---,---,---,---,61kgMen,CleanJerk,582,False
---,DING Hongjie,CHN,"Jan 30, 2002",60.99,A,---,---,---,---,61kgMen,CleanJerk,582,False
---,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",61.00,A,156,-162,-162,156,61kgMen,CleanJerk,582,False
---,HIRAI Kaito,JPN,"Sep 16, 1998",60.82,B,140,145,150,150,61kgMen,CleanJerk,582,False
---,KAO Chan-Hung,TPE,"Oct 03, 1993",60.99,B,147,151,-154,151,61kgMen,CleanJerk,582,False
---,SAPUTRA Ricko,INA,"Jan 21, 2000",61.00,A,160,-167,-170,160,61kgMen,CleanJerk,582,False
---,TRINH Van Vinh,VIE,"Dec 17, 1995",61.00,A,164,-170,-170,164,61kgMen,CleanJerk,582,False
---,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",61.00,A,157,-161,162,162,61kgMen,CleanJerk,582,False
---,CENIZA John Febuar,PHI,"Feb 07, 1998",61.00,A,-163,163,-167,163,61kgMen,CleanJerk,582,False
---,KIM Chung Guk,PRK,"Jun 17, 1999",61.00,A,-168,168,171,171,61kgMen,CleanJerk,582,False
---,LI Fabin,CHN,"Jan 15, 1993",61.00,A,167,-171,-171,167,61kgMen,CleanJerk,582,False
---,PAK Myong Jin,PRK,"Apr 02, 2003",61.00,A,166,171,-175,171,61kgMen,CleanJerk,582,False
---,SANO Kyotaro,JPN,"Nov 16, 2002",60.99,B,-142,142,-146,142,61kgMen,CleanJerk,582,False
1,LI Fabin,CHN,"Jan 15, 1993",61.00,A,143,167,310,---,61kgMen,Total,582,False
2,PAK Myong Jin,PRK,"Apr 02, 2003",61.00,A,136,171,307,---,61kgMen,Total,582,False
3,KIM Chung Guk,PRK,"Jun 17, 1999",61.00,A,127,171,298,---,61kgMen,Total,582,False
4,CENIZA John Febuar,PHI,"Feb 07, 1998",61.00,A,134,163,297,---,61kgMen,Total,582,False
5,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",61.00,A,132,162,294,---,61kgMen,Total,582,False
6,TRINH Van Vinh,VIE,"Dec 17, 1995",61.00,A,128,164,292,---,61kgMen,Total,582,False
7,SAPUTRA Ricko,INA,"Jan 21, 2000",61.00,A,128,160,288,---,61kgMen,Total,582,False
8,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",61.00,A,130,156,286,---,61kgMen,Total,582,False
9,KAO Chan-Hung,TPE,"Oct 03, 1993",60.99,B,124,151,275,---,61kgMen,Total,582,False
10,HIRAI Kaito,JPN,"Sep 16, 1998",60.82,B,117,150,267,---,61kgMen,Total,582,False
11,SANO Kyotaro,JPN,"Nov 16, 2002",60.99,B,121,142,263,---,61kgMen,Total,582,False
12,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",56.18,B,106,135,241,---,61kgMen,Total,582,False
---,USUKHBAYAR Chagnaadorj,MGL,"May 06, 1997",59.79,B,104,---,---,---,61kgMen,Total,582,False
---,SILACHAI Theerapong,THA,"Nov 19, 2003",61.00,A,---,---,---,---,61kgMen,Total,582,False
---,DING Hongjie,CHN,"Jan 30, 2002",60.99,A,---,---,---,---,61kgMen,Total,582,False
---,TRAN Minh Tri,VIE,"Oct 13, 2004",66.96,A,-130,130,-135,130,67kgMen,Snatch,582,False
---,BAE Moonsu,KOR,"Mar 07, 1999",66.95,A,-128,-128,-130,---,67kgMen,Snatch,582,False
---,CHEN Lijun,CHN,"Feb 08, 1993",67.00,A,-145,145,150,150,67kgMen,Snatch,582,False
---,CHANTRI Witsanu,THA,"Sep 12, 1996",67.00,A,-136,-136,---,---,67kgMen,Snatch,582,False
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",66.98,A,-142,145,-148,145,67kgMen,Snatch,582,False
---,ENKHCHIMEG Duurenjargal,MGL,"May 05, 2004",66.49,B,-113,113,-120,113,67kgMen,Snatch,582,False
---,TAIIROV Elzar,KGZ,"Sep 13, 2003",66.91,B,110,-115,-115,110,67kgMen,Snatch,582,False
---,ULAANTSETSEG Amarbayar,MGL,"Apr 23, 2002",66.77,B,114,118,122,122,67kgMen,Snatch,582,False
---,KHREBTOV Petr,KAZ,"Sep 30, 2003",67.00,A,125,-130,-130,125,67kgMen,Snatch,582,False
---,AL BUSAIDI Elyas Tamim Shuwaired,OMA,"Oct 12, 1998",66.27,B,118,-122,-122,118,67kgMen,Snatch,582,False
---,MURATBEK UULU Ishimbek,KGZ,"Dec 10, 2001",66.79,B,110,115,119,119,67kgMen,Snatch,582,False
---,RASHIDOV Bunyad,TKM,"Mar 05, 2000",66.29,A,140,-144,-145,140,67kgMen,Snatch,582,False
---,YOKUBOV Doston,UZB,"Apr 05, 1995",67.00,A,133,-137,137,137,67kgMen,Snatch,582,False
---,LEE Sangyeon,KOR,"Mar 06, 1995",66.86,A,132,-137,137,137,67kgMen,Snatch,582,False
---,RI Won Ju,PRK,"Sep 17, 2002",67.00,A,138,141,-144,141,67kgMen,Snatch,582,False
---,DOUNGSRI Anucha,THA,"Sep 09, 1998",66.97,A,132,136,138,138,67kgMen,Snatch,582,False
---,TRAN Minh Tri,VIE,"Oct 13, 2004",66.96,A,---,---,---,---,67kgMen,CleanJerk,582,False
---,BAE Moonsu,KOR,"Mar 07, 1999",66.95,A,---,---,---,---,67kgMen,CleanJerk,582,False
---,CHEN Lijun,CHN,"Feb 08, 1993",67.00,A,175,-180,180,180,67kgMen,CleanJerk,582,False
---,CHANTRI Witsanu,THA,"Sep 12, 1996",67.00,A,---,---,---,---,67kgMen,CleanJerk,582,False
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",66.98,A,-175,-175,-175,---,67kgMen,CleanJerk,582,False
---,ENKHCHIMEG Duurenjargal,MGL,"May 05, 2004",66.49,B,128,133,-138,133,67kgMen,CleanJerk,582,False
---,TAIIROV Elzar,KGZ,"Sep 13, 2003",66.91,B,132,137,-141,137,67kgMen,CleanJerk,582,False
---,ULAANTSETSEG Amarbayar,MGL,"Apr 23, 2002",66.77,B,-141,141,-145,141,67kgMen,CleanJerk,582,False
---,KHREBTOV Petr,KAZ,"Sep 30, 2003",67.00,A,-150,150,-155,150,67kgMen,CleanJerk,582,False
---,AL BUSAIDI Elyas Tamim Shuwaired,OMA,"Oct 12, 1998",66.27,B,147,152,157,157,67kgMen,CleanJerk,582,False
---,MURATBEK UULU Ishimbek,KGZ,"Dec 10, 2001",66.79,B,150,155,158,158,67kgMen,CleanJerk,582,False
---,RASHIDOV Bunyad,TKM,"Mar 05, 2000",66.29,A,158,-163,-163,158,67kgMen,CleanJerk,582,False
---,YOKUBOV Doston,UZB,"Apr 05, 1995",67.00,A,174,177,179,179,67kgMen,CleanJerk,582,False
