rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,DOURA Peter Ezekiel,PNG,"Dec 23, 2004",52.39,A,58,-62,62,62,55kgMen,Snatch,584,False
1,DOURA Peter Ezekiel,PNG,"Dec 23, 2004",52.39,A,-80,80,-85,80,55kgMen,CleanJerk,584,False
1,DOURA Peter Ezekiel,PNG,"Dec 23, 2004",52.39,A,62,80,142,---,55kgMen,Total,584,False
1,TAFI Falevaa,SAM,"Nov 10, 2006",60.06,A,75,79,81,81,61kgMen,Snatch,584,False
1,TAFI Falevaa,SAM,"Nov 10, 2006",60.06,A,95,-100,100,100,61kgMen,CleanJerk,584,False
1,TAFI Falevaa,SAM,"Nov 10, 2006",60.06,A,81,100,181,---,61kgMen,Total,584,False
1,IKA Ditto Titus,NRU,"Jul 30, 2006",66.58,A,110,115,-118,115,67kgMen,Snatch,584,False
2,HALFORTY Kieran,NZL,"Sep 22, 2004",66.51,A,-92,92,95,95,67kgMen,Snatch,584,False
3,SEUAO Faitasia,SAM,"Apr 16, 2008",66.38,A,77,81,85,85,67kgMen,Snatch,584,False
4,SANELE AH Donai,SAM,"Apr 23, 2008",65.17,A,70,74,-77,74,67kgMen,Snatch,584,False
5,VOLAVOLA Atalo Dimuri Iowane,FIJ,"May 14, 2007",65.36,A,65,68,-70,68,67kgMen,Snatch,584,False
1,IKA Ditto Titus,NRU,"Jul 30, 2006",66.58,A,148,154,---,154,67kgMen,CleanJerk,584,False
2,HALFORTY Kieran,NZL,"Sep 22, 2004",66.51,A,120,-125,-125,120,67kgMen,CleanJerk,584,False
3,SEUAO Faitasia,SAM,"Apr 16, 2008",66.38,A,95,-105,105,105,67kgMen,CleanJerk,584,False
4,VOLAVOLA Atalo Dimuri Iowane,FIJ,"May 14, 2007",65.36,A,90,94,100,100,67kgMen,CleanJerk,584,False
5,SANELE AH Donai,SAM,"Apr 23, 2008",65.17,A,85,90,-95,90,67kgMen,CleanJerk,584,False
1,IKA Ditto Titus,NRU,"Jul 30, 2006",66.58,A,115,154,269,---,67kgMen,Total,584,False
2,HALFORTY Kieran,NZL,"Sep 22, 2004",66.51,A,95,120,215,---,67kgMen,Total,584,False
3,SEUAO Faitasia,SAM,"Apr 16, 2008",66.38,A,85,105,190,---,67kgMen,Total,584,False
4,VOLAVOLA Atalo Dimuri Iowane,FIJ,"May 14, 2007",65.36,A,68,100,168,---,67kgMen,Total,584,False
5,SANELE AH Donai,SAM,"Apr 23, 2008",65.17,A,74,90,164,---,67kgMen,Total,584,False
1,CHANDELIER Yoran,NCL,"May 15, 2004",71.09,A,85,89,-92,89,73kgMen,Snatch,584,False
2,TEIMITSI Spartan,NRU,"Jul 30, 2007",69.54,A,80,83,86,86,73kgMen,Snatch,584,False
