rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SANTOS Raymond Hipol,NMI,"Jan 01, 1991",54.60,A,90,93,96,96,55kgMen,Snatch,586,False
2,RIKLON Mike Enricel,MHL,"Nov 11, 2000",53.90,A,91,94,96,96,55kgMen,Snatch,586,False
3,MASI Philip,SOL,"Oct 27, 2004",54.55,A,-90,90,-93,90,55kgMen,Snatch,586,False
4,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.80,A,80,85,88,88,55kgMen,Snatch,586,False
5,EBIDAG Vincilevi,GUM,"Jan 01, 1995",54.60,A,82,-85,87,87,55kgMen,Snatch,586,False
6,DAGO Simeon Tim,PNG,"Apr 01, 2000",55.00,A,80,85,-88,85,55kgMen,Snatch,586,False
7,ADAM Johannes,NRU,"Sep 09, 2007",54.95,A,75,-78,78,78,55kgMen,Snatch,586,False
8,TAMAROA Eria,KIR,"Jan 05, 2004",54.05,A,70,75,-79,75,55kgMen,Snatch,586,False
---,LAOYAN Mathieu,NCL,"Jul 24, 1991",55.00,A,-81,-83,-83,---,55kgMen,Snatch,586,False
1,RIKLON Mike Enricel,MHL,"Nov 11, 2000",53.90,A,116,-120,-120,116,55kgMen,CleanJerk,586,False
2,MASI Philip,SOL,"Oct 27, 2004",54.55,A,105,110,113,113,55kgMen,CleanJerk,586,False
3,SANTOS Raymond Hipol,NMI,"Jan 01, 1991",54.60,A,112,-116,-116,112,55kgMen,CleanJerk,586,False
4,EBIDAG Vincilevi,GUM,"Jan 01, 1995",54.60,A,102,105,-108,105,55kgMen,CleanJerk,586,False
5,DAGO Simeon Tim,PNG,"Apr 01, 2000",55.00,A,-102,102,105,105,55kgMen,CleanJerk,586,False
6,LAOYAN Mathieu,NCL,"Jul 24, 1991",55.00,A,95,-98,98,98,55kgMen,CleanJerk,586,False
7,ADAM Johannes,NRU,"Sep 09, 2007",54.95,A,90,95,-99,95,55kgMen,CleanJerk,586,False
8,TAMAROA Eria,KIR,"Jan 05, 2004",54.05,A,90,-94,-94,90,55kgMen,CleanJerk,586,False
---,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.80,A,-108,-108,-108,---,55kgMen,CleanJerk,586,False
1,RIKLON Mike Enricel,MHL,"Nov 11, 2000",53.90,A,96,116,212,---,55kgMen,Total,586,False
2,SANTOS Raymond Hipol,NMI,"Jan 01, 1991",54.60,A,96,112,208,---,55kgMen,Total,586,False
3,MASI Philip,SOL,"Oct 27, 2004",54.55,A,90,113,203,---,55kgMen,Total,586,False
4,EBIDAG Vincilevi,GUM,"Jan 01, 1995",54.60,A,87,105,192,---,55kgMen,Total,586,False
5,DAGO Simeon Tim,PNG,"Apr 01, 2000",55.00,A,85,105,190,---,55kgMen,Total,586,False
6,ADAM Johannes,NRU,"Sep 09, 2007",54.95,A,78,95,173,---,55kgMen,Total,586,False
7,TAMAROA Eria,KIR,"Jan 05, 2004",54.05,A,75,90,165,---,55kgMen,Total,586,False
---,LAOYAN Mathieu,NCL,"Jul 24, 1991",55.00,A,---,98,---,---,55kgMen,Total,586,False
---,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.80,A,88,---,---,---,55kgMen,Total,586,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,118,123,-126,123,61kgMen,Snatch,586,False
2,RAMOHAKA Brown Chester,SOL,"Feb 02, 1988",60.00,A,-100,100,102,102,61kgMen,Snatch,586,False
3,ERATI Kaimauri,KIR,"Jun 13, 2004",60.30,A,97,-100,100,100,61kgMen,Snatch,586,False
4,RIVER Patterson,MHL,"Jun 12, 1999",58.40,A,95,-98,98,98,61kgMen,Snatch,586,False
5,BARU Kevau,PNG,"Jan 14, 2004",60.80,A,80,85,88,88,61kgMen,Snatch,586,False
6,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.35,A,83,-86,-86,83,61kgMen,Snatch,586,False
7,PATRIS Blaine,PLW,"Jan 01, 2005",57.75,A,80,-85,-85,80,61kgMen,Snatch,586,False
8,DEGIA Alfred,NRU,"Apr 02, 2008",58.40,A,70,73,76,76,61kgMen,Snatch,586,False
9,RAMIREZ Gyro,PLW,"Aug 07, 2008",60.00,A,-65,65,70,70,61kgMen,Snatch,586,False
1,RAMOHAKA Brown Chester,SOL,"Feb 02, 1988",60.00,A,-127,127,-132,127,61kgMen,CleanJerk,586,False
2,RIVER Patterson,MHL,"Jun 12, 1999",58.40,A,122,126,-131,126,61kgMen,CleanJerk,586,False
3,ERATI Kaimauri,KIR,"Jun 13, 2004",60.30,A,120,-125,-125,120,61kgMen,CleanJerk,586,False
4,BARU Kevau,PNG,"Jan 14, 2004",60.80,A,111,115,118,118,61kgMen,CleanJerk,586,False
5,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.35,A,-113,113,-116,113,61kgMen,CleanJerk,586,False
6,PATRIS Blaine,PLW,"Jan 01, 2005",57.75,A,100,105,110,110,61kgMen,CleanJerk,586,False
7,DEGIA Alfred,NRU,"Apr 02, 2008",58.40,A,90,95,-101,95,61kgMen,CleanJerk,586,False
8,RAMIREZ Gyro,PLW,"Aug 07, 2008",60.00,A,80,-85,90,90,61kgMen,CleanJerk,586,False
---,BARU Morea,PNG,"Apr 15, 1990",61.00,A,-155,-155,-155,---,61kgMen,CleanJerk,586,False
1,RAMOHAKA Brown Chester,SOL,"Feb 02, 1988",60.00,A,102,127,229,---,61kgMen,Total,586,False
2,RIVER Patterson,MHL,"Jun 12, 1999",58.40,A,98,126,224,---,61kgMen,Total,586,False
3,ERATI Kaimauri,KIR,"Jun 13, 2004",60.30,A,100,120,220,---,61kgMen,Total,586,False
4,BARU Kevau,PNG,"Jan 14, 2004",60.80,A,88,118,206,---,61kgMen,Total,586,False
5,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.35,A,83,113,196,---,61kgMen,Total,586,False
6,PATRIS Blaine,PLW,"Jan 01, 2005",57.75,A,80,110,190,---,61kgMen,Total,586,False
7,DEGIA Alfred,NRU,"Apr 02, 2008",58.40,A,76,95,171,---,61kgMen,Total,586,False
8,RAMIREZ Gyro,PLW,"Aug 07, 2008",60.00,A,70,90,160,---,61kgMen,Total,586,False
---,BARU Morea,PNG,"Apr 15, 1990",61.00,A,123,---,---,---,61kgMen,Total,586,False
1,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.05,A,116,120,-124,120,67kgMen,Snatch,586,False
2,IKA Ditto Titus,NRU,"Jul 30, 2006",66.75,A,110,-115,115,115,67kgMen,Snatch,586,False
3,DONGA Stan Eddie,SOL,"Aug 09, 1998",66.05,A,100,105,-108,105,67kgMen,Snatch,586,False
