rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,PANG Un Chol,PRK,"Jan 19, 2001",54.94,A,110,114,116,116,55kgMen,Snatch,587,False
2,NUGROHO Satrio Adi,INA,"May 18, 2004",54.79,A,108,112,115,115,55kgMen,Snatch,587,False
3,RIZQIH Muhammad Ibnul,INA,"Feb 11, 2006",55.00,A,-111,-111,113,113,55kgMen,Snatch,587,False
4,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",55.00,A,106,112,-114,112,55kgMen,Snatch,587,False
5,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",55.00,A,110,-115,-115,110,55kgMen,Snatch,587,False
6,TAJ Md Ashikur Rahman,BAN,"Feb 14, 2001",55.00,A,93,97,100,100,55kgMen,Snatch,587,False
1,PANG Un Chol,PRK,"Jan 19, 2001",54.94,A,142,148,152,152,55kgMen,CleanJerk,587,False
2,NUGROHO Satrio Adi,INA,"May 18, 2004",54.79,A,135,139,-144,139,55kgMen,CleanJerk,587,False
3,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",55.00,A,133,-139,-140,133,55kgMen,CleanJerk,587,False
4,RIZQIH Muhammad Ibnul,INA,"Feb 11, 2006",55.00,A,130,-134,-134,130,55kgMen,CleanJerk,587,False
5,TAJ Md Ashikur Rahman,BAN,"Feb 14, 2001",55.00,A,112,-118,-118,112,55kgMen,CleanJerk,587,False
---,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",55.00,A,---,---,---,---,55kgMen,CleanJerk,587,False
1,PANG Un Chol,PRK,"Jan 19, 2001",54.94,A,116,152,268,---,55kgMen,Total,587,False
2,NUGROHO Satrio Adi,INA,"May 18, 2004",54.79,A,115,139,254,---,55kgMen,Total,587,False
3,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",55.00,A,112,133,245,---,55kgMen,Total,587,False
4,RIZQIH Muhammad Ibnul,INA,"Feb 11, 2006",55.00,A,113,130,243,---,55kgMen,Total,587,False
5,TAJ Md Ashikur Rahman,BAN,"Feb 14, 2001",55.00,A,100,112,212,---,55kgMen,Total,587,False
---,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",55.00,A,110,---,---,---,55kgMen,Total,587,False
1,LI Fabin,CHN,"Jan 15, 1993",61.00,A,132,-137,137,137,61kgMen,Snatch,587,False
2,IRAWAN Eko Yuli,INA,"Jul 24, 1989",61.00,B,133,136,-138,136,61kgMen,Snatch,587,False
3,PAK Myong Jin,PRK,"Apr 02, 2003",60.97,A,130,134,-136,134,61kgMen,Snatch,587,False
4,CENIZA John Febuar,PHI,"Feb 07, 1998",61.00,A,130,133,-135,133,61kgMen,Snatch,587,False
5,KIM Chung Guk,PRK,"Jun 17, 1999",60.94,A,125,130,-132,130,61kgMen,Snatch,587,False
6,SHIN Rok,KOR,"Jul 08, 2002",61.00,C,125,129,-132,129,61kgMen,Snatch,587,False
7,SAPUTRA Ricko,INA,"Jan 21, 2000",61.00,A,129,-133,-133,129,61kgMen,Snatch,587,False
8,CHOMCHUEN Teerapat,THA,"Jul 31, 2001",60.94,A,-127,127,-131,127,61kgMen,Snatch,587,False
9,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",60.90,C,123,-126,126,126,61kgMen,Snatch,587,False
10,DING Hongjie,CHN,"Jan 30, 2002",61.00,A,126,-131,-131,126,61kgMen,Snatch,587,False
11,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.95,B,120,124,-126,124,61kgMen,Snatch,587,False
12,GUEMEZ CEL Victor Badur,MEX,"Jun 23, 2000",61.00,C,115,120,123,123,61kgMen,Snatch,587,False
13,SILACHAI Theerapong,THA,"Nov 19, 2003",60.85,B,123,-127,-127,123,61kgMen,Snatch,587,False
14,MORRIS Hampton Miller,USA,"Feb 17, 2004",61.00,B,122,-125,-126,122,61kgMen,Snatch,587,False
15,MIRZAYEV Seyitjan,TKM,"Apr 30, 1994",60.95,B,120,-123,-124,120,61kgMen,Snatch,587,False
16,BOUHIJBHA Amine,TUN,"Feb 28, 1996",61.00,B,117,-119,120,120,61kgMen,Snatch,587,False
17,HIRAI Kaito,JPN,"Sep 16, 1998",61.00,C,115,-119,-119,115,61kgMen,Snatch,587,False
18,ISOFACHE Cosmin Florentin,ROU,"Sep 19, 2005",61.00,C,110,115,-120,115,61kgMen,Snatch,587,False
19,NIYOYITA Davis,UGA,"Jan 01, 2004",58.55,C,90,- 96,96,96,61kgMen,Snatch,587,False
20,ALMULLA Mohammed J M N A,KUW,"Sep 29, 1997",60.32,C,80,---,---,80,61kgMen,Snatch,587,False
---,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",61.00,B,-128,-128,-128,---,61kgMen,Snatch,587,False
---,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",61.00,B,-126,-126,-126,---,61kgMen,Snatch,587,False
---,TRINH Van Vinh,VIE,"Dec 17, 1995",61.00,A,-130,-130,-130,---,61kgMen,Snatch,587,False
1,PAK Myong Jin,PRK,"Apr 02, 2003",60.97,A,-165,165,171,171,61kgMen,CleanJerk,587,False
2,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",60.90,C,162,167,170,170,61kgMen,CleanJerk,587,False
3,MORRIS Hampton Miller,USA,"Feb 17, 2004",61.00,B,170,-174,-174,170,61kgMen,CleanJerk,587,False
4,KIM Chung Guk,PRK,"Jun 17, 1999",60.94,A,-165,165,-169,165,61kgMen,CleanJerk,587,False
5,CENIZA John Febuar,PHI,"Feb 07, 1998",61.00,A,-165,165,-168,165,61kgMen,CleanJerk,587,False
6,CHOMCHUEN Teerapat,THA,"Jul 31, 2001",60.94,A,155,162,-166,162,61kgMen,CleanJerk,587,False
