rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,ABDELMOAMNEN Shetawy,ALG,"Jan 01, 2007",49.00,A,-70,70,75,75,49kgMen,Snatch,588,False
2,QANAW Mahmoud,LBA,"Jan 01, 2010",48.80,A,40,47,51,51,49kgMen,Snatch,588,False
1,ABDELMOAMNEN Shetawy,ALG,"Jan 01, 2007",49.00,A,-85,90,95,95,49kgMen,CleanJerk,588,False
2,QANAW Mahmoud,LBA,"Jan 01, 2010",48.80,A,50,57,61,61,49kgMen,CleanJerk,588,False
1,ABDELMOAMNEN Shetawy,ALG,"Jan 01, 2007",49.00,A,75,95,170,---,49kgMen,Total,588,False
2,QANAW Mahmoud,LBA,"Jan 01, 2010",48.80,A,51,61,112,---,49kgMen,Total,588,False
1,AMAN ALLAH Brini,TUN,"Jan 01, 2007",54.60,A,72,76,81,81,55kgMen,Snatch,588,False
2,MOHAMED ISLAM Tewarry,ALG,"Jan 01, 2008",54.50,A,76,80,-82,80,55kgMen,Snatch,588,False
1,MOHAMED ISLAM Tewarry,ALG,"Jan 01, 2008",54.50,A,100,103,106,106,55kgMen,CleanJerk,588,False
2,AMAN ALLAH Brini,TUN,"Jan 01, 2007",54.60,A,101,-106,-107,101,55kgMen,CleanJerk,588,False
1,MOHAMED ISLAM Tewarry,ALG,"Jan 01, 2008",54.50,A,80,106,186,---,55kgMen,Total,588,False
2,AMAN ALLAH Brini,TUN,"Jan 01, 2007",54.60,A,81,101,182,---,55kgMen,Total,588,False
1,SHALABI Kamal,LBA,"Jan 01, 2006",60.10,A,87,91,-94,91,61kgMen,Snatch,588,False
2,MEJE Boy,RSA,"Jan 01, 2006",60.05,A,83,87,-90,87,61kgMen,Snatch,588,False
1,SHALABI Kamal,LBA,"Jan 01, 2006",60.10,A,105,112,118,118,61kgMen,CleanJerk,588,False
2,MEJE Boy,RSA,"Jan 01, 2006",60.05,A,106,113,-120,113,61kgMen,CleanJerk,588,False
1,SHALABI Kamal,LBA,"Jan 01, 2006",60.10,A,91,118,209,---,61kgMen,Total,588,False
2,MEJE Boy,RSA,"Jan 01, 2006",60.05,A,87,113,200,---,61kgMen,Total,588,False
1,KHALED SOUHAIL Okcini,ALG,"Jan 01, 2006",66.80,A,90,-95,95,95,67kgMen,Snatch,588,False
2,ALBAOUR Abdulmalik,LBA,"Jan 01, 2007",66.55,A,87,92,-95,92,67kgMen,Snatch,588,False
1,KHALED SOUHAIL Okcini,ALG,"Jan 01, 2006",66.80,A,115,-120,-121,115,67kgMen,CleanJerk,588,False
2,ALBAOUR Abdulmalik,LBA,"Jan 01, 2007",66.55,A,106,112,-117,112,67kgMen,CleanJerk,588,False
1,KHALED SOUHAIL Okcini,ALG,"Jan 01, 2006",66.80,A,95,115,210,---,67kgMen,Total,588,False
2,ALBAOUR Abdulmalik,LBA,"Jan 01, 2007",66.55,A,92,112,204,---,67kgMen,Total,588,False
1,AYOUB Djabri,ALG,"Jan 01, 2007",72.20,B,100,107,-113,107,73kgMen,Snatch,588,False
2,ABDELHAMID Ouhsine,ALG,"Jan 01, 2008",71.90,B,100,106,-111,106,73kgMen,Snatch,588,False
1,AYOUB Djabri,ALG,"Jan 01, 2007",72.20,B,125,132,-138,132,73kgMen,CleanJerk,588,False
2,ABDELHAMID Ouhsine,ALG,"Jan 01, 2008",71.90,B,120,-130,-130,120,73kgMen,CleanJerk,588,False
1,AYOUB Djabri,ALG,"Jan 01, 2007",72.20,B,107,132,239,---,73kgMen,Total,588,False
