rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,AMAN ALLAH Brini,TUN,"Jan 01, 2007",54.60,A,72,76,81,81,55kgMen,Snatch,589,False
2,MOHAMED ISLAM Tewarry,ALG,"Jan 01, 2008",54.50,A,76,80,-82,80,55kgMen,Snatch,589,False
1,MOHAMED ISLAM Tewarry,ALG,"Jan 01, 2008",54.50,A,100,103,106,106,55kgMen,CleanJerk,589,False
2,AMAN ALLAH Brini,TUN,"Jan 01, 2007",54.60,A,101,-106,-107,101,55kgMen,CleanJerk,589,False
1,MOHAMED ISLAM Tewarry,ALG,"Jan 01, 2008",54.50,A,80,106,186,---,55kgMen,Total,589,False
2,AMAN ALLAH Brini,TUN,"Jan 01, 2007",54.60,A,81,101,182,---,55kgMen,Total,589,False
1,ELARABY Elsayed Aly Elsayed Attia,EGY,"Jan 02, 2006",59.70,A,107,113,-116,113,61kgMen,Snatch,589,False
2,BASHER Khowaydam,ALG,"Jan 01, 2003",60.80,A,-90,-90,92,92,61kgMen,Snatch,589,False
3,SHALABI Kamal,LBA,"Jan 01, 2006",60.10,A,87,91,-94,91,61kgMen,Snatch,589,False
4,DONFACK NGABAN Alex Stephen,CMR,"Jan 01, 2005",60.90,A,81,86,-90,86,61kgMen,Snatch,589,False
5,HLABATHE Thapelo,RSA,"Jan 01, 2005",60.90,A,83,86,-90,86,61kgMen,Snatch,589,False
1,ELARABY Elsayed Aly Elsayed Attia,EGY,"Jan 02, 2006",59.70,A,140,145,148,148,61kgMen,CleanJerk,589,False
2,SHALABI Kamal,LBA,"Jan 01, 2006",60.10,A,105,112,118,118,61kgMen,CleanJerk,589,False
3,DONFACK NGABAN Alex Stephen,CMR,"Jan 01, 2005",60.90,A,-110,110,117,117,61kgMen,CleanJerk,589,False
4,BASHER Khowaydam,ALG,"Jan 01, 2003",60.80,A,110,115,-120,115,61kgMen,CleanJerk,589,False
5,HLABATHE Thapelo,RSA,"Jan 01, 2005",60.90,A,100,107,115,115,61kgMen,CleanJerk,589,False
1,ELARABY Elsayed Aly Elsayed Attia,EGY,"Jan 02, 2006",59.70,A,113,148,261,---,61kgMen,Total,589,False
2,SHALABI Kamal,LBA,"Jan 01, 2006",60.10,A,91,118,209,---,61kgMen,Total,589,False
3,BASHER Khowaydam,ALG,"Jan 01, 2003",60.80,A,92,115,207,---,61kgMen,Total,589,False
4,DONFACK NGABAN Alex Stephen,CMR,"Jan 01, 2005",60.90,A,86,117,203,---,61kgMen,Total,589,False
5,HLABATHE Thapelo,RSA,"Jan 01, 2005",60.90,A,86,115,201,---,61kgMen,Total,589,False
1,CHEKHCHOUKH Akram,ALG,"Jul 10, 2004",66.35,A,-120,120,-127,120,67kgMen,Snatch,589,False
2,SHALABI Mohamed,LBA,"Jan 01, 2005",66.55,A,104,108,-114,108,67kgMen,Snatch,589,False
3,KHALED SOUHAIL Okcini,ALG,"Jan 01, 2006",66.80,A,90,-95,95,95,67kgMen,Snatch,589,False
4,ALBAOUR Abdulmalik,LBA,"Jan 01, 2007",66.55,A,87,92,-95,92,67kgMen,Snatch,589,False
5,MAKHANYA Mokhethi,LES,"Jan 01, 2005",63.30,A,60,66,72,72,67kgMen,Snatch,589,False
1,CHEKHCHOUKH Akram,ALG,"Jul 10, 2004",66.35,A,150,-156,156,156,67kgMen,CleanJerk,589,False
