rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",61.00,A,-122,122,125,125,61kgMen,Snatch,590,False
---,MARTINEZ GONZALEZ Juan Miguel,PAN,"Oct 05, 2001",61.00,A,101,106,-110,106,61kgMen,Snatch,590,False
---,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",61.00,A,115,-120,-121,115,61kgMen,Snatch,590,False
---,CASTRO Aldair,CHI,"Feb 04, 2000",61.00,A,-113,113,116,116,61kgMen,Snatch,590,False
---,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",61.00,A,118,122,-124,122,61kgMen,Snatch,590,False
---,VILLAR MANJARRES Estiven Jose,COL,"Mar 12, 2001",61.00,A,118,122,124,124,61kgMen,Snatch,590,False
---,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",61.00,A,119,122,125,125,61kgMen,Snatch,590,False
---,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",61.00,A,119,122,124,124,61kgMen,Snatch,590,False
---,GUEMEZ CEL Victor Badur,MEX,"Jun 23, 2000",61.00,A,119,123,-125,123,61kgMen,Snatch,590,False
---,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",61.00,A,154,---,---,154,61kgMen,CleanJerk,590,False
---,MARTINEZ GONZALEZ Juan Miguel,PAN,"Oct 05, 2001",61.00,A,120,125,-130,125,61kgMen,CleanJerk,590,False
---,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",61.00,A,147,-152,-152,147,61kgMen,CleanJerk,590,False
---,CASTRO Aldair,CHI,"Feb 04, 2000",61.00,A,137,144,-148,144,61kgMen,CleanJerk,590,False
---,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",61.00,A,145,-149,-149,145,61kgMen,CleanJerk,590,False
---,VILLAR MANJARRES Estiven Jose,COL,"Mar 12, 2001",61.00,A,-148,149,-152,149,61kgMen,CleanJerk,590,False
---,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",61.00,A,149,-152,-152,149,61kgMen,CleanJerk,590,False
---,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",61.00,A,-151,151,-153,151,61kgMen,CleanJerk,590,False
---,GUEMEZ CEL Victor Badur,MEX,"Jun 23, 2000",61.00,A,-150,150,153,153,61kgMen,CleanJerk,590,False
1,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",61.00,A,125,154,279,---,61kgMen,Total,590,False
2,GUEMEZ CEL Victor Badur,MEX,"Jun 23, 2000",61.00,A,123,153,276,---,61kgMen,Total,590,False
3,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",61.00,A,124,151,275,---,61kgMen,Total,590,False
4,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",61.00,A,125,149,274,---,61kgMen,Total,590,False
5,VILLAR MANJARRES Estiven Jose,COL,"Mar 12, 2001",61.00,A,124,149,273,---,61kgMen,Total,590,False
6,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",61.00,A,122,145,267,---,61kgMen,Total,590,False
7,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",61.00,A,115,147,262,---,61kgMen,Total,590,False
8,CASTRO Aldair,CHI,"Feb 04, 2000",61.00,A,116,144,260,---,61kgMen,Total,590,False
9,MARTINEZ GONZALEZ Juan Miguel,PAN,"Oct 05, 2001",61.00,A,106,125,231,---,61kgMen,Total,590,False
---,HERNANDEZ FLORES Jorge Neptali,HON,"Mar 06, 1997",73.00,A,-126,126,128,128,73kgMen,Snatch,590,False
---,CEDENO MEJIA Julio Cesar,DOM,"Oct 16, 1992",73.00,A,-137,137,141,141,73kgMen,Snatch,590,False
---,CARDENAS ESTRADA Jorge Adan,MEX,"Apr 21, 1997",73.00,A,143,147,-150,147,73kgMen,Snatch,590,False
---,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",73.00,A,150,-153,153,153,73kgMen,Snatch,590,False
---,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",73.00,A,147,151,154,154,73kgMen,Snatch,590,False
---,COOPER Travis Daniel,USA,"Jan 27, 1988",73.00,A,-137,137,-141,137,73kgMen,Snatch,590,False
---,CARES VALDES Sergio Andres,CHI,"Jan 07, 2002",73.00,A,128,132,-136,132,73kgMen,Snatch,590,False
---,RAMIREZ MARTINEZ Jefferson Aldahir,ECU,"May 02, 2001",73.00,A,117,122,-124,122,73kgMen,Snatch,590,False
---,VASQUEZ MORALES Orlando Antonio,NCA,"Oct 28, 1997",73.00,A,120,126,-130,126,73kgMen,Snatch,590,False
---,CRUZ ESCOBAR Ramon Ernesto,ESA,"May 23, 1995",73.00,A,120,-125,-126,120,73kgMen,Snatch,590,False
---,OLIVERA Lucas Reinaldo,URU,"Jan 23, 1997",73.00,A,107,111,116,116,73kgMen,Snatch,590,False
---,BOGADO Kyle,PAR,"Mar 20, 2006",73.00,A,105,110,115,110,73kgMen,Snatch,590,False
---,PERALTA ROJAS Andres,CRC,"May 18, 2004",73.00,A,110,115,118,118,73kgMen,Snatch,590,False
---,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",73.00,A,110,113,-117,113,73kgMen,Snatch,590,False
---,VACHON Nicolas,CAN,"Jul 05, 1996",73.00,A,134,-137,-137,---,73kgMen,Snatch,590,False
---,MENDEZ YE Henry Geovany,GUA,"Mar 15, 1999",73.00,A,120,125,-130,125,73kgMen,Snatch,590,False
---,MARTINEZ LOPEZ Juan Camilo,COL,"Mar 18, 2001",73.00,A,131,135,138,138,73kgMen,Snatch,590,False
---,HERNANDEZ FLORES Jorge Neptali,HON,"Mar 06, 1997",73.00,A,162,-166,166,166,73kgMen,CleanJerk,590,False
---,CEDENO MEJIA Julio Cesar,DOM,"Oct 16, 1992",73.00,A,-165,165,-177,165,73kgMen,CleanJerk,590,False
---,CARDENAS ESTRADA Jorge Adan,MEX,"Apr 21, 1997",73.00,A,170,-175,-175,170,73kgMen,CleanJerk,590,False
---,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",73.00,A,180,-184,-186,180,73kgMen,CleanJerk,590,False
---,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",73.00,A,182,184,188,188,73kgMen,CleanJerk,590,False
---,COOPER Travis Daniel,USA,"Jan 27, 1988",73.00,A,165,-175,-181,165,73kgMen,CleanJerk,590,False
---,CARES VALDES Sergio Andres,CHI,"Jan 07, 2002",73.00,A,158,162,-167,162,73kgMen,CleanJerk,590,False
---,RAMIREZ MARTINEZ Jefferson Aldahir,ECU,"May 02, 2001",73.00,A,152,156,158,158,73kgMen,CleanJerk,590,False
---,VASQUEZ MORALES Orlando Antonio,NCA,"Oct 28, 1997",73.00,A,-150,-150,150,150,73kgMen,CleanJerk,590,False
---,CRUZ ESCOBAR Ramon Ernesto,ESA,"May 23, 1995",73.00,A,-153,153,-158,153,73kgMen,CleanJerk,590,False
---,OLIVERA Lucas Reinaldo,URU,"Jan 23, 1997",73.00,A,141,145,-150,145,73kgMen,CleanJerk,590,False
---,BOGADO Kyle,PAR,"Mar 20, 2006",73.00,A,140,145,150,150,73kgMen,CleanJerk,590,False
---,PERALTA ROJAS Andres,CRC,"May 18, 2004",73.00,A,140,-145,-145,140,73kgMen,CleanJerk,590,False
---,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",73.00,A,130,140,-150,140,73kgMen,CleanJerk,590,False
---,VACHON Nicolas,CAN,"Jul 05, 1996",73.00,A,-172,-172,-177,---,73kgMen,CleanJerk,590,False
---,MENDEZ YE Henry Geovany,GUA,"Mar 15, 1999",73.00,A,153,-157,160,160,73kgMen,CleanJerk,590,False
---,MARTINEZ LOPEZ Juan Camilo,COL,"Mar 18, 2001",73.00,A,173,-180,-180,173,73kgMen,CleanJerk,590,False
1,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",73.00,A,154,188,342,---,73kgMen,Total,590,False
2,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",73.00,A,153,180,333,---,73kgMen,Total,590,False
3,CARDENAS ESTRADA Jorge Adan,MEX,"Apr 21, 1997",73.00,A,147,170,317,---,73kgMen,Total,590,False
4,MARTINEZ LOPEZ Juan Camilo,COL,"Mar 18, 2001",73.00,A,138,173,311,---,73kgMen,Total,590,False
5,CEDENO MEJIA Julio Cesar,DOM,"Oct 16, 1992",73.00,A,141,165,306,---,73kgMen,Total,590,False
6,COOPER Travis Daniel,USA,"Jan 27, 1988",73.00,A,137,165,302,---,73kgMen,Total,590,False
7,CARES VALDES Sergio Andres,CHI,"Jan 07, 2002",73.00,A,132,162,294,---,73kgMen,Total,590,False
8,HERNANDEZ FLORES Jorge Neptali,HON,"Mar 06, 1997",73.00,A,128,166,294,---,73kgMen,Total,590,False
9,MENDEZ YE Henry Geovany,GUA,"Mar 15, 1999",73.00,A,125,160,285,---,73kgMen,Total,590,False
10,RAMIREZ MARTINEZ Jefferson Aldahir,ECU,"May 02, 2001",73.00,A,122,158,280,---,73kgMen,Total,590,False
11,VASQUEZ MORALES Orlando Antonio,NCA,"Oct 28, 1997",73.00,A,126,150,276,---,73kgMen,Total,590,False
12,CRUZ ESCOBAR Ramon Ernesto,ESA,"May 23, 1995",73.00,A,120,153,273,---,73kgMen,Total,590,False
13,OLIVERA Lucas Reinaldo,URU,"Jan 23, 1997",73.00,A,116,145,261,---,73kgMen,Total,590,False
14,BOGADO Kyle,PAR,"Mar 20, 2006",73.00,A,110,150,260,---,73kgMen,Total,590,False
15,PERALTA ROJAS Andres,CRC,"May 18, 2004",73.00,A,118,140,258,---,73kgMen,Total,590,False
16,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",73.00,A,113,140,253,---,73kgMen,Total,590,False
---,VACHON Nicolas,CAN,"Jul 05, 1996",73.00,A,---,---,---,---,73kgMen,Total,590,False
---,BELLEMARRE Alex,CAN,"Jun 22, 1998",89.00,A,155,160,165,165,89kgMen,Snatch,590,False
---,SAEZ VERA Olfides,CUB,"Sep 24, 1994",89.00,A,156,-161,-161,156,89kgMen,Snatch,590,False
---,LOPEZ LOPEZ Yeison,COL,"Jan 09, 1999",89.00,A,168,172,177,177,89kgMen,Snatch,590,False
---,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Oct 08, 1999",89.00,A,168,172,-177,172,89kgMen,Snatch,590,False
---,REYES ALTAGRACIA Ray Carlos,DOM,"Jun 12, 1999",89.00,A,135,-141,-141,135,89kgMen,Snatch,590,False
---,MENDEZ PEREZ Arley,CHI,"Dec 31, 1993",89.00,A,-160,160,-165,160,89kgMen,Snatch,590,False
---,ESCUDERO ORDONEZ Ivan Andres,ECU,"Jan 11, 2001",89.00,A,150,155,158,158,89kgMen,Snatch,590,False
---,NOEL Shammah Timothy,GUY,"Mar 30, 1995",89.00,A,95,100,-103,100,89kgMen,Snatch,590,False
---,MEARS Omarie Akiel,JAM,"Oct 13, 1993",89.00,A,-118,118,-123,118,89kgMen,Snatch,590,False
---,GRIFFITH Daniel Christopher,BAR,"Dec 16, 1994",89.00,A,112,118,123,123,89kgMen,Snatch,590,False
---,LEON DE PAZ Jaime Joel,GUA,"Apr 27, 2000",89.00,A,120,127,130,130,89kgMen,Snatch,590,False
---,PIZZUTI Dante Alessandro,ARG,"Jul 07, 2003",89.00,A,139,-143,143,143,89kgMen,Snatch,590,False
---,PAVON FUNES Axel Haun,HON,"Sep 28, 2000",89.00,A,140,-145,-145,140,89kgMen,Snatch,590,False
---,VICTORIAN Brandon Joseph,USA,"Aug 12, 1996",89.00,A,150,-155,-156,150,89kgMen,Snatch,590,False
---,BELLEMARRE Alex,CAN,"Jun 22, 1998",89.00,A,-185,185,191,191,89kgMen,CleanJerk,590,False
---,SAEZ VERA Olfides,CUB,"Sep 24, 1994",89.00,A,195,201,-205,201,89kgMen,CleanJerk,590,False
---,LOPEZ LOPEZ Yeison,COL,"Jan 09, 1999",89.00,A,201,205,-209,205,89kgMen,CleanJerk,590,False
---,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Oct 08, 1999",89.00,A,208,211,---,211,89kgMen,CleanJerk,590,False
---,REYES ALTAGRACIA Ray Carlos,DOM,"Jun 12, 1999",89.00,A,160,170,-180,170,89kgMen,CleanJerk,590,False
---,MENDEZ PEREZ Arley,CHI,"Dec 31, 1993",89.00,A,185,196,-201,196,89kgMen,CleanJerk,590,False
---,ESCUDERO ORDONEZ Ivan Andres,ECU,"Jan 11, 2001",89.00,A,-183,184,-186,184,89kgMen,CleanJerk,590,False
---,NOEL Shammah Timothy,GUY,"Mar 30, 1995",89.00,A,135,140,145,145,89kgMen,CleanJerk,590,False
---,MEARS Omarie Akiel,JAM,"Oct 13, 1993",89.00,A,140,145,149,149,89kgMen,CleanJerk,590,False
---,GRIFFITH Daniel Christopher,BAR,"Dec 16, 1994",89.00,A,152,-158,158,158,89kgMen,CleanJerk,590,False
---,LEON DE PAZ Jaime Joel,GUA,"Apr 27, 2000",89.00,A,153,157,161,161,89kgMen,CleanJerk,590,False
---,PIZZUTI Dante Alessandro,ARG,"Jul 07, 2003",89.00,A,171,-175,175,175,89kgMen,CleanJerk,590,False
---,PAVON FUNES Axel Haun,HON,"Sep 28, 2000",89.00,A,-180,-180,180,180,89kgMen,CleanJerk,590,False
---,VICTORIAN Brandon Joseph,USA,"Aug 12, 1996",89.00,A,185,-191,-191,185,89kgMen,CleanJerk,590,False
1,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Oct 08, 1999",89.00,A,172,211,383,---,89kgMen,Total,590,False
2,LOPEZ LOPEZ Yeison,COL,"Jan 09, 1999",89.00,A,177,205,382,---,89kgMen,Total,590,False
3,SAEZ VERA Olfides,CUB,"Sep 24, 1994",89.00,A,156,201,357,---,89kgMen,Total,590,False
4,BELLEMARRE Alex,CAN,"Jun 22, 1998",89.00,A,165,191,356,---,89kgMen,Total,590,False
5,MENDEZ PEREZ Arley,CHI,"Dec 31, 1993",89.00,A,160,196,356,---,89kgMen,Total,590,False
6,ESCUDERO ORDONEZ Ivan Andres,ECU,"Jan 11, 2001",89.00,A,158,184,342,---,89kgMen,Total,590,False
7,VICTORIAN Brandon Joseph,USA,"Aug 12, 1996",89.00,A,150,185,335,---,89kgMen,Total,590,False
8,PAVON FUNES Axel Haun,HON,"Sep 28, 2000",89.00,A,140,180,320,---,89kgMen,Total,590,False
9,PIZZUTI Dante Alessandro,ARG,"Jul 07, 2003",89.00,A,143,175,318,---,89kgMen,Total,590,False
10,REYES ALTAGRACIA Ray Carlos,DOM,"Jun 12, 1999",89.00,A,135,170,305,---,89kgMen,Total,590,False
11,LEON DE PAZ Jaime Joel,GUA,"Apr 27, 2000",89.00,A,130,161,291,---,89kgMen,Total,590,False
12,GRIFFITH Daniel Christopher,BAR,"Dec 16, 1994",89.00,A,123,158,281,---,89kgMen,Total,590,False
13,MEARS Omarie Akiel,JAM,"Oct 13, 1993",89.00,A,118,149,267,---,89kgMen,Total,590,False
14,NOEL Shammah Timothy,GUY,"Mar 30, 1995",89.00,A,100,145,245,---,89kgMen,Total,590,False
---,SANTAVY Noah Dalas,CAN,"Sep 22, 1998",102.00,A,150,-155,-155,150,102kgMen,Snatch,590,False
---,CUEVAS IBORRA Nicolas Rodrigo,CHI,"Mar 24, 2002",102.00,A,143,146,-150,146,102kgMen,Snatch,590,False
---,SANTANA FRIAS Confesor,DOM,"Mar 20, 2002",102.00,A,130,-137,140,140,102kgMen,Snatch,590,False
---,PICUN ROUX Diego Emiliano,URU,"Nov 23, 1994",102.00,A,127,132,-137,132,102kgMen,Snatch,590,False
---,CONTRERAS CHAMORRO Wilmer Eduardo,ECU,"Jun 13, 1991",102.00,A,130,135,---,135,102kgMen,Snatch,590,False
---,CLARKE Quontana Sundiata,BAR,"Jul 01, 1991",102.00,A,95,-100,-100,95,102kgMen,Snatch,590,False
---,GREGORIO MACHADO Marco Tulio,BRA,"Nov 03, 1991",102.00,A,-162,-162,163,163,102kgMen,Snatch,590,False
---,LAMENZA LOPEZ Luis Armando,PUR,"May 06, 1998",102.00,A,155,160,-165,160,102kgMen,Snatch,590,False
---,ATENCIA PRIOU Amel Karim,PER,"Feb 18, 2002",102.00,A,-150,150,155,155,102kgMen,Snatch,590,False
---,PRIETO RECALDE Juan Jose,PAR,"Dec 12, 1998",102.00,A,140,145,-150,145,102kgMen,Snatch,590,False
---,RIVAS MOSQUERA Jhonatan,COL,"Jul 11, 1998",102.00,A,172,176,---,176,102kgMen,Snatch,590,False
---,ZALDIVAR MELIAN Juan Carlos,CUB,"Feb 21, 1999",102.00,A,161,166,-170,166,102kgMen,Snatch,590,False
---,SANGUINO MATAMOROS Jhohan David,VEN,"Dec 01, 1998",102.00,A,162,166,-170,166,102kgMen,Snatch,590,False
