rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LAI Gia Thanh,VIE,"May 03, 1998",54.92,A,116,119,121,121,55kgMen,Snatch,591,False
2,SOMBOON-UAN Thada,THA,"Nov 03, 2000",54.95,A,115,-118,118,118,55kgMen,Snatch,591,False
3,MUHAMMAD Husin,INA,"May 02, 2005",53.71,A,100,113,-117,113,55kgMen,Snatch,591,False
4,SEYHA Pich,CAM,"Aug 19, 2000",54.33,A,-80,81,-85,81,55kgMen,Snatch,591,False
5,NASOD Thy,LAO,"Aug 13, 2002",54.52,A,-80,-80,80,80,55kgMen,Snatch,591,False
1,LAI Gia Thanh,VIE,"May 03, 1998",54.92,A,-140,140,-149,140,55kgMen,CleanJerk,591,False
2,SOMBOON-UAN Thada,THA,"Nov 03, 2000",54.95,A,130,-144,-144,130,55kgMen,CleanJerk,591,False
3,MUHAMMAD Husin,INA,"May 02, 2005",53.71,A,-120,120,-136,120,55kgMen,CleanJerk,591,False
4,NASOD Thy,LAO,"Aug 13, 2002",54.52,A,101,-105,106,106,55kgMen,CleanJerk,591,False
5,SEYHA Pich,CAM,"Aug 19, 2000",54.33,A,100,104,-107,104,55kgMen,CleanJerk,591,False
1,LAI Gia Thanh,VIE,"May 03, 1998",54.92,A,121,140,261,---,55kgMen,Total,591,False
2,SOMBOON-UAN Thada,THA,"Nov 03, 2000",54.95,A,118,130,248,---,55kgMen,Total,591,False
3,MUHAMMAD Husin,INA,"May 02, 2005",53.71,A,113,120,233,---,55kgMen,Total,591,False
4,NASOD Thy,LAO,"Aug 13, 2002",54.52,A,80,106,186,---,55kgMen,Total,591,False
5,SEYHA Pich,CAM,"Aug 19, 2000",54.33,A,81,104,185,---,55kgMen,Total,591,False
1,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.96,A,133,-137,-137,133,61kgMen,Snatch,591,False
2,CHOMCHUEN Teerapat,THA,"Jul 31, 2001",60.32,A,128,-131,131,131,61kgMen,Snatch,591,False
3,CENIZA John Febuar,PHI,"Feb 07, 1998",60.69,A,125,128,-130,128,61kgMen,Snatch,591,False
4,BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,"Sep 20, 1995",60.57,A,-100,-100,100,100,61kgMen,Snatch,591,False
---,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",60.87,A,-126,-126,-128,---,61kgMen,Snatch,591,False
1,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.96,A,161,-166,170,170,61kgMen,CleanJerk,591,False
2,CENIZA John Febuar,PHI,"Feb 07, 1998",60.69,A,160,164,169,169,61kgMen,CleanJerk,591,False
3,CHOMCHUEN Teerapat,THA,"Jul 31, 2001",60.32,A,160,165,-169,165,61kgMen,CleanJerk,591,False
4,BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,"Sep 20, 1995",60.57,A,123,126,-131,126,61kgMen,CleanJerk,591,False
---,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",60.87,A,---,---,---,---,61kgMen,CleanJerk,591,False
1,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.96,A,133,170,303,---,61kgMen,Total,591,False
2,CENIZA John Febuar,PHI,"Feb 07, 1998",60.69,A,128,169,297,---,61kgMen,Total,591,False
3,CHOMCHUEN Teerapat,THA,"Jul 31, 2001",60.32,A,131,165,296,---,61kgMen,Total,591,False
4,BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,"Sep 20, 1995",60.57,A,100,126,226,---,61kgMen,Total,591,False
---,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",60.87,A,---,---,---,---,61kgMen,Total,591,False
1,CHANTRI Witsanu,THA,"Sep 12, 1996",66.10,A,137,-140,-140,137,67kgMen,Snatch,591,False
2,YASIN Mohammad,INA,"Jan 18, 2000",66.69,A,130,-137,137,137,67kgMen,Snatch,591,False
3,PACALDO ZAMORA Dave Llyod,PHI,"Oct 01, 1999",66.72,A,125,128,131,131,67kgMen,Snatch,591,False
4,TRAN Minh Tri,VIE,"Oct 13, 2004",66.62,A,126,130,-133,130,67kgMen,Snatch,591,False
5,MUHAMMAD Danial Dahlan,MAS,"Jul 02, 2002",66.86,A,125,-128,128,128,67kgMen,Snatch,591,False
6,CHANTHANUN Ny,CAM,"Feb 17, 2002",66.43,A,70,-75,76,76,67kgMen,Snatch,591,False
1,TRAN Minh Tri,VIE,"Oct 13, 2004",66.62,A,162,168,176,176,67kgMen,CleanJerk,591,False
2,CHANTRI Witsanu,THA,"Sep 12, 1996",66.10,A,163,168,-171,168,67kgMen,CleanJerk,591,False
3,YASIN Mohammad,INA,"Jan 18, 2000",66.69,A,162,167,-170,167,67kgMen,CleanJerk,591,False
4,PACALDO ZAMORA Dave Llyod,PHI,"Oct 01, 1999",66.72,A,160,166,-170,166,67kgMen,CleanJerk,591,False
5,CHANTHANUN Ny,CAM,"Feb 17, 2002",66.43,A,80,84,88,88,67kgMen,CleanJerk,591,False
---,MUHAMMAD Danial Dahlan,MAS,"Jul 02, 2002",66.86,A,-155,-160,-160,---,67kgMen,CleanJerk,591,False
1,TRAN Minh Tri,VIE,"Oct 13, 2004",66.62,A,130,176,306,---,67kgMen,Total,591,False
2,CHANTRI Witsanu,THA,"Sep 12, 1996",66.10,A,137,168,305,---,67kgMen,Total,591,False
3,YASIN Mohammad,INA,"Jan 18, 2000",66.69,A,137,167,304,---,67kgMen,Total,591,False
4,PACALDO ZAMORA Dave Llyod,PHI,"Oct 01, 1999",66.72,A,131,166,297,---,67kgMen,Total,591,False
5,CHANTHANUN Ny,CAM,"Feb 17, 2002",66.43,A,76,88,164,---,67kgMen,Total,591,False
---,MUHAMMAD Danial Dahlan,MAS,"Jul 02, 2002",66.86,A,128,---,---,---,67kgMen,Total,591,False
1,JUNIANSYAH Rizki,INA,"Jun 17, 2003",72.55,A,-143,143,156,156,73kgMen,Snatch,591,False
2,DOUNGSRI Anucha,THA,"Sep 09, 1998",71.74,A,135,140,-142,140,73kgMen,Snatch,591,False
3,BUI Ky Su,VIE,"Jun 12, 2002",72.32,A,-136,-136,136,136,73kgMen,Snatch,591,False
4,BUNROTH Duch,CAM,"Apr 06, 1997",71.95,A,95,98,-103,98,73kgMen,Snatch,591,False
---,MUHAMMAD Erry Hidayat,MAS,"Nov 24, 1999",72.60,A,-135,-135,-135,---,73kgMen,Snatch,591,False
1,JUNIANSYAH Rizki,INA,"Jun 17, 2003",72.55,A,176,-191,191,191,73kgMen,CleanJerk,591,False
2,BUI Ky Su,VIE,"Jun 12, 2002",72.32,A,150,175,-180,175,73kgMen,CleanJerk,591,False
3,DOUNGSRI Anucha,THA,"Sep 09, 1998",71.74,A,165,170,175,175,73kgMen,CleanJerk,591,False
4,BUNROTH Duch,CAM,"Apr 06, 1997",71.95,A,115,118,121,121,73kgMen,CleanJerk,591,False
---,MUHAMMAD Erry Hidayat,MAS,"Nov 24, 1999",72.60,A,---,---,---,---,73kgMen,CleanJerk,591,False
1,JUNIANSYAH Rizki,INA,"Jun 17, 2003",72.55,A,156,191,347,---,73kgMen,Total,591,False
2,DOUNGSRI Anucha,THA,"Sep 09, 1998",71.74,A,140,175,315,---,73kgMen,Total,591,False
3,BUI Ky Su,VIE,"Jun 12, 2002",72.32,A,136,175,311,---,73kgMen,Total,591,False
4,BUNROTH Duch,CAM,"Apr 06, 1997",71.95,A,98,121,219,---,73kgMen,Total,591,False
---,MUHAMMAD Erry Hidayat,MAS,"Nov 24, 1999",72.60,A,---,---,---,---,73kgMen,Total,591,False
1,ABDULLAH Rahmat Erwin,INA,"Oct 13, 2000",76.60,A,150,158,---,158,81kgMen,Snatch,591,False
2,CHINNAWONG Chatuphum,THA,"Jul 19, 1993",80.40,A,140,150,-158,150,81kgMen,Snatch,591,False
3,AUNG Thi Ha,MYA,"Jun 06, 2000",73.14,A,110,120,125,125,81kgMen,Snatch,591,False
4,YIN Sokleng,CAM,"Jun 18, 1999",79.82,A,80,83,-86,83,81kgMen,Snatch,591,False
1,ABDULLAH Rahmat Erwin,INA,"Oct 13, 2000",76.60,A,190,201,---,201,81kgMen,CleanJerk,591,False
2,CHINNAWONG Chatuphum,THA,"Jul 19, 1993",80.40,A,160,165,175,175,81kgMen,CleanJerk,591,False
3,AUNG Thi Ha,MYA,"Jun 06, 2000",73.14,A,150,160,165,165,81kgMen,CleanJerk,591,False
4,YIN Sokleng,CAM,"Jun 18, 1999",79.82,A,-100,103,105,105,81kgMen,CleanJerk,591,False
1,ABDULLAH Rahmat Erwin,INA,"Oct 13, 2000",76.60,A,158,201,359,---,81kgMen,Total,591,False
2,CHINNAWONG Chatuphum,THA,"Jul 19, 1993",80.40,A,150,175,325,---,81kgMen,Total,591,False
3,AUNG Thi Ha,MYA,"Jun 06, 2000",73.14,A,125,165,290,---,81kgMen,Total,591,False
4,YIN Sokleng,CAM,"Jun 18, 1999",79.82,A,83,105,188,---,81kgMen,Total,591,False
1,NGUYEN Quoc Toan,VIE,"Jul 18, 2002",88.49,A,150,155,-157,155,89kgMen,Snatch,591,False
2,ILMI Muhamad Zul,INA,"Sep 07, 1996",88.56,A,145,-151,-151,145,89kgMen,Snatch,591,False
3,TABIQUE FEBRA John Dexter,PHI,"Aug 08, 2000",88.54,A,130,140,-145,140,89kgMen,Snatch,591,False
4,MARTINS GARCIA VALENTE Jose Fernanior,TLS,"Oct 16, 1998",86.06,A,85,90,95,95,89kgMen,Snatch,591,False
1,NGUYEN Quoc Toan,VIE,"Jul 18, 2002",88.49,A,185,190,-193,190,89kgMen,CleanJerk,591,False
2,ILMI Muhamad Zul,INA,"Sep 07, 1996",88.56,A,177,183,-201,183,89kgMen,CleanJerk,591,False
3,TABIQUE FEBRA John Dexter,PHI,"Aug 08, 2000",88.54,A,160,170,-175,170,89kgMen,CleanJerk,591,False
4,MARTINS GARCIA VALENTE Jose Fernanior,TLS,"Oct 16, 1998",86.06,A,100,107,-112,107,89kgMen,CleanJerk,591,False
1,NGUYEN Quoc Toan,VIE,"Jul 18, 2002",88.49,A,155,190,345,---,89kgMen,Total,591,False
2,ILMI Muhamad Zul,INA,"Sep 07, 1996",88.56,A,145,183,328,---,89kgMen,Total,591,False
3,TABIQUE FEBRA John Dexter,PHI,"Aug 08, 2000",88.54,A,140,170,310,---,89kgMen,Total,591,False
4,MARTINS GARCIA VALENTE Jose Fernanior,TLS,"Oct 16, 1998",86.06,A,95,107,202,---,89kgMen,Total,591,False
1,PANYA Rungsuriya,THA,"Mar 19, 2000",128.83,A,150,155,-157,155,+89kgMen,Snatch,591,False
2,TRAN Dinh Thang,VIE,"May 03, 1999",104.95,A,-148,150,-155,150,+89kgMen,Snatch,591,False
3,YAN Myo Kyaw,MYA,"May 27, 1999",123.04,A,120,-140,140,140,+89kgMen,Snatch,591,False
4,SORN Pou,CAM,"May 01, 2000",96.45,A,95,-99,100,100,+89kgMen,Snatch,591,False
1,TRAN Dinh Thang,VIE,"May 03, 1999",104.95,A,196,-209,209,209,+89kgMen,CleanJerk,591,False
2,PANYA Rungsuriya,THA,"Mar 19, 2000",128.83,A,195,200,203,203,+89kgMen,CleanJerk,591,False
3,YAN Myo Kyaw,MYA,"May 27, 1999",123.04,A,160,-182,---,160,+89kgMen,CleanJerk,591,False
4,SORN Pou,CAM,"May 01, 2000",96.45,A,110,113,117,117,+89kgMen,CleanJerk,591,False
1,TRAN Dinh Thang,VIE,"May 03, 1999",104.95,A,150,209,359,---,+89kgMen,Total,591,False
2,PANYA Rungsuriya,THA,"Mar 19, 2000",128.83,A,155,203,358,---,+89kgMen,Total,591,False
3,YAN Myo Kyaw,MYA,"May 27, 1999",123.04,A,140,160,300,---,+89kgMen,Total,591,False
4,SORN Pou,CAM,"May 01, 2000",96.45,A,100,117,217,---,+89kgMen,Total,591,False
