rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,CHOMCHUEN Natthawat,THA,"Jul 31, 2001",54.70,A,115,117,119,119,55kgMen,Snatch,592,False
2,PANG Un Chol,PRK,"Jan 19, 2001",55.00,A,112,-116,116,116,55kgMen,Snatch,592,False
3,LAI Gia Thanh,VIE,"May 03, 1998",55.00,A,-116,-116,116,116,55kgMen,Snatch,592,False
4,TANG Chun-Yen,TPE,"Oct 14, 2005",54.90,A,86,90,-93,90,55kgMen,Snatch,592,False
---,MINGMOON Witoon,THA,"Feb 10, 1996",54.70,A,-106,-106,-106,---,55kgMen,Snatch,592,False
1,PANG Un Chol,PRK,"Jan 19, 2001",55.00,A,147,150,-153,150,55kgMen,CleanJerk,592,False
2,CHOMCHUEN Natthawat,THA,"Jul 31, 2001",54.70,A,145,-149,-149,145,55kgMen,CleanJerk,592,False
3,MINGMOON Witoon,THA,"Feb 10, 1996",54.70,A,135,-150,-151,135,55kgMen,CleanJerk,592,False
4,LAI Gia Thanh,VIE,"May 03, 1998",55.00,A,134,-145,---,134,55kgMen,CleanJerk,592,False
5,TANG Chun-Yen,TPE,"Oct 14, 2005",54.90,A,-110,110,115,115,55kgMen,CleanJerk,592,False
1,PANG Un Chol,PRK,"Jan 19, 2001",55.00,A,116,150,266,---,55kgMen,Total,592,False
2,CHOMCHUEN Natthawat,THA,"Jul 31, 2001",54.70,A,119,145,264,---,55kgMen,Total,592,False
3,LAI Gia Thanh,VIE,"May 03, 1998",55.00,A,116,134,250,---,55kgMen,Total,592,False
4,TANG Chun-Yen,TPE,"Oct 14, 2005",54.90,A,90,115,205,---,55kgMen,Total,592,False
---,MINGMOON Witoon,THA,"Feb 10, 1996",54.70,A,---,135,---,---,55kgMen,Total,592,False
1,PAK Myong Jin,PRK,"Apr 02, 2003",60.90,A,131,-134,134,134,61kgMen,Snatch,592,False
2,LEE Hyeseong,KOR,"Nov 06, 1994",60.90,A,127,-130,131,131,61kgMen,Snatch,592,False
3,SAPUTRA Ricko,INA,"Jan 21, 2000",60.90,A,-129,-130,130,130,61kgMen,Snatch,592,False
4,TRINH Van Vinh,VIE,"Dec 17, 1995",61.00,A,126,129,-131,129,61kgMen,Snatch,592,False
5,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",60.90,A,-127,127,-130,127,61kgMen,Snatch,592,False
6,ERGASHEV Adkhamjon,UZB,"Mar 12, 1999",61.00,A,126,-129,-129,126,61kgMen,Snatch,592,False
7,MIRZAYEV Seyitjan,TKM,"Apr 30, 1994",61.00,A,-125,-126,126,126,61kgMen,Snatch,592,False
8,SHIN Rok,KOR,"Jul 08, 2002",61.00,B,125,-130,-130,125,61kgMen,Snatch,592,False
9,KAO Chan-Hung,TPE,"Oct 03, 1993",61.00,B,-125,-125,125,125,61kgMen,Snatch,592,False
