rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BOUHIJBHA Amine,TUN,"Feb 28, 1996",60.70,A,115,118,-121,118,61kgMen,Snatch,593,False
2,IBRAHIM MANSOUR Abdelrahman,EGY,"Jan 01, 2003",61.00,A,113,117,-119,117,61kgMen,Snatch,593,False
3,ZAKY Noureldin,EGY,"Jan 01, 2004",60.35,A,114,-118,-119,114,61kgMen,Snatch,593,False
4,JEBALI Mahmoud Sajir,TUN,"Jun 21, 2006",61.00,A,-108,-108,108,108,61kgMen,Snatch,593,False
5,MOULABBI Mohamed,MAR,"Oct 29, 2001",60.95,A,95,100,-105,100,61kgMen,Snatch,593,False
6,KAMARA Lamin,SLE,"Sep 29, 2001",61.00,A,75,80,-87,80,61kgMen,Snatch,593,False
1,IBRAHIM MANSOUR Abdelrahman,EGY,"Jan 01, 2003",61.00,A,137,144,-150,144,61kgMen,CleanJerk,593,False
2,ZAKY Noureldin,EGY,"Jan 01, 2004",60.35,A,132,140,-145,140,61kgMen,CleanJerk,593,False
3,JEBALI Mahmoud Sajir,TUN,"Jun 21, 2006",61.00,A,130,-138,138,138,61kgMen,CleanJerk,593,False
4,BOUHIJBHA Amine,TUN,"Feb 28, 1996",60.70,A,135,-141,-143,135,61kgMen,CleanJerk,593,False
5,MOULABBI Mohamed,MAR,"Oct 29, 2001",60.95,A,-120,120,125,125,61kgMen,CleanJerk,593,False
6,KAMARA Lamin,SLE,"Sep 29, 2001",61.00,A,105,110,115,115,61kgMen,CleanJerk,593,False
1,IBRAHIM MANSOUR Abdelrahman,EGY,"Jan 01, 2003",61.00,A,117,144,261,---,61kgMen,Total,593,False
2,ZAKY Noureldin,EGY,"Jan 01, 2004",60.35,A,114,140,254,---,61kgMen,Total,593,False
3,BOUHIJBHA Amine,TUN,"Feb 28, 1996",60.70,A,118,135,253,---,61kgMen,Total,593,False
4,JEBALI Mahmoud Sajir,TUN,"Jun 21, 2006",61.00,A,108,138,246,---,61kgMen,Total,593,False
5,MOULABBI Mohamed,MAR,"Oct 29, 2001",60.95,A,100,125,225,---,61kgMen,Total,593,False
6,KAMARA Lamin,SLE,"Sep 29, 2001",61.00,A,80,115,195,---,61kgMen,Total,593,False
1,CHEKHCHOUKH Akram,ALG,"Jul 10, 2004",67.00,A,122,128,130,130,67kgMen,Snatch,593,False
2,SALEM Ayoub,TUN,"Sep 18, 2002",66.70,A,123,-129,129,129,67kgMen,Snatch,593,False
3,TUBAL Maraj S.Omer,LBA,"Jan 10, 1994",67.00,A,112,115,-121,115,67kgMen,Snatch,593,False
4,RHALOUI Abderrahmane,MAR,"Feb 15, 2003",65.75,A,105,110,-115,110,67kgMen,Snatch,593,False
