rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SAHIN Muammer,TUR,"Feb 05, 1994",55.00,A,110,-112,112,112,55kgMen,Snatch,594,False
2,SHAMILISHVILI Ramini,GEO,"May 11, 1994",54.73,A,106,109,111,111,55kgMen,Snatch,594,False
3,RUSEV Angel Hriskov,BUL,"Jul 13, 2001",54.93,A,105,109,-111,109,55kgMen,Snatch,594,False
4,BERDELIDZE Goderdzi,GEO,"Jul 14, 1996",54.83,A,-107,107,-110,107,55kgMen,Snatch,594,False
5,LUCA Marian-Cristian,ROU,"Feb 16, 1999",55.00,A,102,106,-110,106,55kgMen,Snatch,594,False
6,ALGUL Harun,TUR,"Nov 03, 2003",54.92,A,104,-107,-110,104,55kgMen,Snatch,594,False
7,VORONOVSKYI Dmytro,UKR,"Jan 03, 1997",55.00,A,-103,103,-106,103,55kgMen,Snatch,594,False
8,ZARKOV Dzhan,BUL,"May 08, 2006",54.78,A,95,99,102,102,55kgMen,Snatch,594,False
9,BETCA Iulian,MDA,"Aug 17, 2003",54.92,A,-98,98,-103,98,55kgMen,Snatch,594,False
10,COMERZAN Andrian,MDA,"Oct 11, 2005",55.00,A,85,-89,89,89,55kgMen,Snatch,594,False
11,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.96,A,-85,86,-90,86,55kgMen,Snatch,594,False
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",55.00,A,-108,-108,-110,---,55kgMen,Snatch,594,False
1,RUSEV Angel Hriskov,BUL,"Jul 13, 2001",54.93,A,135,-140,---,135,55kgMen,CleanJerk,594,False
2,ZARKOV Dzhan,BUL,"May 08, 2006",54.78,A,123,129,133,133,55kgMen,CleanJerk,594,False
3,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",55.00,A,125,-130,131,131,55kgMen,CleanJerk,594,False
4,SHAMILISHVILI Ramini,GEO,"May 11, 1994",54.73,A,126,130,-134,130,55kgMen,CleanJerk,594,False
5,LUCA Marian-Cristian,ROU,"Feb 16, 1999",55.00,A,125,128,-131,128,55kgMen,CleanJerk,594,False
6,ALGUL Harun,TUR,"Nov 03, 2003",54.92,A,125,-130,-130,125,55kgMen,CleanJerk,594,False
7,VORONOVSKYI Dmytro,UKR,"Jan 03, 1997",55.00,A,123,-129,-130,123,55kgMen,CleanJerk,594,False
8,BERDELIDZE Goderdzi,GEO,"Jul 14, 1996",54.83,A,-123,-123,123,123,55kgMen,CleanJerk,594,False
9,SAHIN Muammer,TUR,"Feb 05, 1994",55.00,A,121,-125,-125,121,55kgMen,CleanJerk,594,False
10,BETCA Iulian,MDA,"Aug 17, 2003",54.92,A,-115,115,119,119,55kgMen,CleanJerk,594,False
11,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.96,A,110,-115,-116,110,55kgMen,CleanJerk,594,False
12,COMERZAN Andrian,MDA,"Oct 11, 2005",55.00,A,105,110,-115,110,55kgMen,CleanJerk,594,False
1,RUSEV Angel Hriskov,BUL,"Jul 13, 2001",54.93,A,109,135,244,---,55kgMen,Total,594,False
2,SHAMILISHVILI Ramini,GEO,"May 11, 1994",54.73,A,111,130,241,---,55kgMen,Total,594,False
3,ZARKOV Dzhan,BUL,"May 08, 2006",54.78,A,102,133,235,---,55kgMen,Total,594,False
4,LUCA Marian-Cristian,ROU,"Feb 16, 1999",55.00,A,106,128,234,---,55kgMen,Total,594,False
5,SAHIN Muammer,TUR,"Feb 05, 1994",55.00,A,112,121,233,---,55kgMen,Total,594,False
6,BERDELIDZE Goderdzi,GEO,"Jul 14, 1996",54.83,A,107,123,230,---,55kgMen,Total,594,False
7,ALGUL Harun,TUR,"Nov 03, 2003",54.92,A,104,125,229,---,55kgMen,Total,594,False
8,VORONOVSKYI Dmytro,UKR,"Jan 03, 1997",55.00,A,103,123,226,---,55kgMen,Total,594,False
9,BETCA Iulian,MDA,"Aug 17, 2003",54.92,A,98,119,217,---,55kgMen,Total,594,False
10,COMERZAN Andrian,MDA,"Oct 11, 2005",55.00,A,89,110,199,---,55kgMen,Total,594,False
11,DZOBAK Alexandr,CZE,"Feb 14, 2004",52.96,A,86,110,196,---,55kgMen,Total,594,False
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",55.00,A,---,131,---,---,55kgMen,Total,594,False
1,DIMOV Ivan,BUL,"Apr 12, 2002",60.88,A,130,-133,-133,130,61kgMen,Snatch,594,False
2,ZALIPSKYI Pavlo,UKR,"Jul 13, 1998",60.98,A,121,124,126,126,61kgMen,Snatch,594,False
3,MISHVELIDZE Shota,GEO,"Oct 18, 1994",61.00,A,121,-125,125,125,61kgMen,Snatch,594,False
4,LUNGU Daniel,MDA,"Oct 16, 1998",60.85,A,120,124,-126,124,61kgMen,Snatch,594,False
