rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.52,A,80,85,-87,85,55kgMen,Snatch,595,False
2,EBIDAG Vincilevi,GUM,"Jan 01, 1995",54.56,A,80,85,-87,85,55kgMen,Snatch,595,False
3,ADAM Johannes,NRU,"Sep 09, 2007",54.56,A,75,79,-81,79,55kgMen,Snatch,595,False
4,DOURA Peter Ezekiel,PNG,"Dec 23, 2004",53.12,A,-58,60,-65,60,55kgMen,Snatch,595,False
1,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.52,A,106,-109,-109,106,55kgMen,CleanJerk,595,False
2,EBIDAG Vincilevi,GUM,"Jan 01, 1995",54.56,A,100,-106,-106,100,55kgMen,CleanJerk,595,False
3,ADAM Johannes,NRU,"Sep 09, 2007",54.56,A,95,100,-105,100,55kgMen,CleanJerk,595,False
4,DOURA Peter Ezekiel,PNG,"Dec 23, 2004",53.12,A,78,-83,83,83,55kgMen,CleanJerk,595,False
1,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.52,A,85,106,191,---,55kgMen,Total,595,False
2,EBIDAG Vincilevi,GUM,"Jan 01, 1995",54.56,A,85,100,185,---,55kgMen,Total,595,False
3,ADAM Johannes,NRU,"Sep 09, 2007",54.56,A,79,100,179,---,55kgMen,Total,595,False
4,DOURA Peter Ezekiel,PNG,"Dec 23, 2004",53.12,A,60,83,143,---,55kgMen,Total,595,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,-112,112,-120,112,61kgMen,Snatch,595,False
2,CAIN Shadrach,NRU,"Jul 27, 1999",60.62,A,92,96,-100,96,61kgMen,Snatch,595,False
3,AUMALEFO Freeman Hale,SOL,"May 19, 2009",60.42,A,85,88,90,90,61kgMen,Snatch,595,False
4,BARU Kevau,PNG,"Jan 14, 2004",60.50,A,-85,86,-88,86,61kgMen,Snatch,595,False
5,DEGIA Alfred,NRU,"Apr 02, 2008",59.06,A,75,80,83,83,61kgMen,Snatch,595,False
6,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.58,A,80,-85,-87,80,61kgMen,Snatch,595,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,150,-160,-160,150,61kgMen,CleanJerk,595,False
2,CAIN Shadrach,NRU,"Jul 27, 1999",60.62,A,120,125,-130,125,61kgMen,CleanJerk,595,False
3,BARU Kevau,PNG,"Jan 14, 2004",60.50,A,113,116,-120,116,61kgMen,CleanJerk,595,False
4,AUMALEFO Freeman Hale,SOL,"May 19, 2009",60.42,A,110,-114,-115,110,61kgMen,CleanJerk,595,False
5,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.58,A,-110,110,-116,110,61kgMen,CleanJerk,595,False
6,DEGIA Alfred,NRU,"Apr 02, 2008",59.06,A,95,100,105,105,61kgMen,CleanJerk,595,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,112,150,262,---,61kgMen,Total,595,False
2,CAIN Shadrach,NRU,"Jul 27, 1999",60.62,A,96,125,221,---,61kgMen,Total,595,False
3,BARU Kevau,PNG,"Jan 14, 2004",60.50,A,86,116,202,---,61kgMen,Total,595,False
4,AUMALEFO Freeman Hale,SOL,"May 19, 2009",60.42,A,90,110,200,---,61kgMen,Total,595,False
5,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.58,A,80,110,190,---,61kgMen,Total,595,False
6,DEGIA Alfred,NRU,"Apr 02, 2008",59.06,A,83,105,188,---,61kgMen,Total,595,False
1,IOANE Vaipava,SAM,"Jan 01, 2001",66.64,A,115,120,122,122,67kgMen,Snatch,595,False
2,IKA Ditto Titus,NRU,"Jul 30, 2006",66.26,A,110,-113,-113,110,67kgMen,Snatch,595,False
3,CRISTOBAL Leowell Ladringan,NMI,"Sep 25, 1998",66.92,A,94,97,100,100,67kgMen,Snatch,595,False
1,IOANE Vaipava,SAM,"Jan 01, 2001",66.64,A,152,160,-167,160,67kgMen,CleanJerk,595,False
2,IKA Ditto Titus,NRU,"Jul 30, 2006",66.26,A,145,-150,-150,145,67kgMen,CleanJerk,595,False
3,CRISTOBAL Leowell Ladringan,NMI,"Sep 25, 1998",66.92,A,130,137,-142,137,67kgMen,CleanJerk,595,False
1,IOANE Vaipava,SAM,"Jan 01, 2001",66.64,A,122,160,282,---,67kgMen,Total,595,False
2,IKA Ditto Titus,NRU,"Jul 30, 2006",66.26,A,110,145,255,---,67kgMen,Total,595,False
3,CRISTOBAL Leowell Ladringan,NMI,"Sep 25, 1998",66.92,A,100,137,237,---,67kgMen,Total,595,False
1,MOSES Ezekiel,NRU,"Jul 02, 2001",73.00,A,130,132,135,135,73kgMen,Snatch,595,False
2,TAFI John,SAM,"Jan 01, 2001",72.38,A,-130,130,-135,130,73kgMen,Snatch,595,False
3,ELDER Nehmiah K W,FIJ,"Mar 14, 2009",71.28,A,115,120,125,125,73kgMen,Snatch,595,False
4,RAOBU Manuila,TUV,"Sep 18, 2000",70.26,A,120,-121,121,121,73kgMen,Snatch,595,False
5,BAUTISTA David,GUM,"Nov 07, 1989",72.10,A,105,109,-113,109,73kgMen,Snatch,595,False
6,TEIMITSI Spartan,NRU,"Jul 30, 2007",72.94,A,90,95,98,98,73kgMen,Snatch,595,False
7,AQUINO Emmanuel G.,NMI,"Jan 01, 2000",72.64,A,-90,90,-95,90,73kgMen,Snatch,595,False
---,PATRIS Stevick,PLW,"Jan 17, 1991",72.68,A,-115,-115,-115,---,73kgMen,Snatch,595,False
1,TAFI John,SAM,"Jan 01, 2001",72.38,A,163,166,170,170,73kgMen,CleanJerk,595,False
2,MOSES Ezekiel,NRU,"Jul 02, 2001",73.00,A,160,-163,-163,160,73kgMen,CleanJerk,595,False
3,RAOBU Manuila,TUV,"Sep 18, 2000",70.26,A,145,147,-150,147,73kgMen,CleanJerk,595,False
4,BAUTISTA David,GUM,"Nov 07, 1989",72.10,A,137,-141,-143,137,73kgMen,CleanJerk,595,False
5,ELDER Nehmiah K W,FIJ,"Mar 14, 2009",71.28,A,-137,-137,137,137,73kgMen,CleanJerk,595,False
6,TEIMITSI Spartan,NRU,"Jul 30, 2007",72.94,A,120,-125,125,125,73kgMen,CleanJerk,595,False
7,AQUINO Emmanuel G.,NMI,"Jan 01, 2000",72.64,A,-115,115,121,121,73kgMen,CleanJerk,595,False
---,PATRIS Stevick,PLW,"Jan 17, 1991",72.68,A,---,---,---,---,73kgMen,CleanJerk,595,False
1,TAFI John,SAM,"Jan 01, 2001",72.38,A,130,170,300,---,73kgMen,Total,595,False
2,MOSES Ezekiel,NRU,"Jul 02, 2001",73.00,A,135,160,295,---,73kgMen,Total,595,False
3,RAOBU Manuila,TUV,"Sep 18, 2000",70.26,A,121,147,268,---,73kgMen,Total,595,False
4,ELDER Nehmiah K W,FIJ,"Mar 14, 2009",71.28,A,125,137,262,---,73kgMen,Total,595,False
5,BAUTISTA David,GUM,"Nov 07, 1989",72.10,A,109,137,246,---,73kgMen,Total,595,False
6,TEIMITSI Spartan,NRU,"Jul 30, 2007",72.94,A,98,125,223,---,73kgMen,Total,595,False
7,AQUINO Emmanuel G.,NMI,"Jan 01, 2000",72.64,A,90,121,211,---,73kgMen,Total,595,False
---,PATRIS Stevick,PLW,"Jan 17, 1991",72.68,A,---,---,---,---,73kgMen,Total,595,False
1,COOK Marcincy,NRU,"Apr 16, 2002",81.00,A,125,130,135,135,81kgMen,Snatch,595,False
2,POWER Curran Gwynn,NZL,"Feb 27, 1997",80.02,A,115,120,-126,120,81kgMen,Snatch,595,False
3,AH CHONMG Tovio,SAM,"Jan 01, 2007",81.00,A,114,117,-120,117,81kgMen,Snatch,595,False
4,SHAW Daniel Zackariah Anthony,FIJ,"Jun 18, 2005",79.66,A,110,-114,115,115,81kgMen,Snatch,595,False
5,LUJAN Malachi John Fejeran,GUM,"Jul 10, 2008",79.44,A,60,63,-66,63,81kgMen,Snatch,595,False
1,AH CHONMG Tovio,SAM,"Jan 01, 2007",81.00,A,151,155,-170,155,81kgMen,CleanJerk,595,False
