rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,ROCHE CINTRON Howard,PUR,"Aug 04, 1992",55.00,A,96,100,103,103,55kgMen,Snatch,596,False
2,BARCO RANGEL Juan Antonio,MEX,"Nov 08, 2002",54.95,A,97,101,-104,101,55kgMen,Snatch,596,False
3,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",55.00,A,95,99,-102,99,55kgMen,Snatch,596,False
4,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",54.35,A,93,-97,-97,93,55kgMen,Snatch,596,False
1,BARCO RANGEL Juan Antonio,MEX,"Nov 08, 2002",54.95,A,124,127,-128,127,55kgMen,CleanJerk,596,False
2,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",55.00,A,123,-125,127,127,55kgMen,CleanJerk,596,False
3,ROCHE CINTRON Howard,PUR,"Aug 04, 1992",55.00,A,119,-123,-123,119,55kgMen,CleanJerk,596,False
4,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",54.35,A,113,-120,-120,113,55kgMen,CleanJerk,596,False
1,BARCO RANGEL Juan Antonio,MEX,"Nov 08, 2002",54.95,A,101,127,228,---,55kgMen,Total,596,False
2,POOX PERALTA Jose Manuel,MEX,"Mar 17, 2003",55.00,A,99,127,226,---,55kgMen,Total,596,False
3,ROCHE CINTRON Howard,PUR,"Aug 04, 1992",55.00,A,103,119,222,---,55kgMen,Total,596,False
4,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",54.35,A,93,113,206,---,55kgMen,Total,596,False
1,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",61.00,A,117,120,123,123,61kgMen,Snatch,596,False
2,VIVEROS SANCHEZ Hector Andres,COL,"Nov 14, 2000",61.00,A,115,-120,-121,115,61kgMen,Snatch,596,False
3,ARTEAGA CASTILLO Jhony David,ECU,"Jul 29, 2001",60.20,A,110,115,-118,115,61kgMen,Snatch,596,False
4,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",61.00,A,110,114,-116,114,61kgMen,Snatch,596,False
5,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.40,A,-105,105,-111,105,61kgMen,Snatch,596,False
---,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.65,A,-118,-118,-118,---,61kgMen,Snatch,596,False
1,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",61.00,A,145,150,-152,150,61kgMen,CleanJerk,596,False
2,VIVEROS SANCHEZ Hector Andres,COL,"Nov 14, 2000",61.00,A,143,149,-152,149,61kgMen,CleanJerk,596,False
3,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.65,A,138,144,-151,144,61kgMen,CleanJerk,596,False
4,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.40,A,133,137,141,141,61kgMen,CleanJerk,596,False
5,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",61.00,A,140,-144,-144,140,61kgMen,CleanJerk,596,False
6,ARTEAGA CASTILLO Jhony David,ECU,"Jul 29, 2001",60.20,A,135,-140,-141,135,61kgMen,CleanJerk,596,False
1,VIVEROS SANCHEZ Hector Andres,COL,"Nov 14, 2000",61.00,A,115,149,264,---,61kgMen,Total,596,False
2,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",61.00,A,114,150,264,---,61kgMen,Total,596,False
3,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",61.00,A,123,140,263,---,61kgMen,Total,596,False
4,ARTEAGA CASTILLO Jhony David,ECU,"Jul 29, 2001",60.20,A,115,135,250,---,61kgMen,Total,596,False
5,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.40,A,105,141,246,---,61kgMen,Total,596,False
---,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.65,A,---,144,---,---,61kgMen,Total,596,False
1,GARCIA Hector Armando,COL,"Jun 17, 1999",67.00,A,130,132,135,135,67kgMen,Snatch,596,False
2,VASQUEZ MORALES Orlando Antonio,NCA,"Oct 28, 1997",66.65,A,125,128,131,131,67kgMen,Snatch,596,False
3,CANO Luis,COL,"May 31, 2002",67.00,A,-125,125,129,129,67kgMen,Snatch,596,False
4,RIVAS Endy,VEN,"Mar 07, 2002",66.65,A,122,-126,127,127,67kgMen,Snatch,596,False
5,JIMENEZ David,CRC,"Aug 22, 1999",67.00,A,116,121,126,126,67kgMen,Snatch,596,False
6,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",63.05,A,110,115,118,118,67kgMen,Snatch,596,False
7,MENDEZ DIAZ Jose Alexander,ESA,"Sep 02, 2000",65.55,A,105,110,-112,110,67kgMen,Snatch,596,False
1,CANO Luis,COL,"May 31, 2002",67.00,A,160,164,---,164,67kgMen,CleanJerk,596,False
2,RIVAS Endy,VEN,"Mar 07, 2002",66.65,A,153,157,160,160,67kgMen,CleanJerk,596,False
3,GARCIA Hector Armando,COL,"Jun 17, 1999",67.00,A,153,157,-158,157,67kgMen,CleanJerk,596,False
4,VASQUEZ MORALES Orlando Antonio,NCA,"Oct 28, 1997",66.65,A,-155,-155,155,155,67kgMen,CleanJerk,596,False
5,JIMENEZ David,CRC,"Aug 22, 1999",67.00,A,146,151,-156,151,67kgMen,CleanJerk,596,False
6,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",63.05,A,140,145,148,148,67kgMen,CleanJerk,596,False
7,MENDEZ DIAZ Jose Alexander,ESA,"Sep 02, 2000",65.55,A,135,-140,140,140,67kgMen,CleanJerk,596,False
1,CANO Luis,COL,"May 31, 2002",67.00,A,129,164,293,---,67kgMen,Total,596,False
2,GARCIA Hector Armando,COL,"Jun 17, 1999",67.00,A,135,157,292,---,67kgMen,Total,596,False
3,RIVAS Endy,VEN,"Mar 07, 2002",66.65,A,127,160,287,---,67kgMen,Total,596,False
4,VASQUEZ MORALES Orlando Antonio,NCA,"Oct 28, 1997",66.65,A,131,155,286,---,67kgMen,Total,596,False
5,JIMENEZ David,CRC,"Aug 22, 1999",67.00,A,126,151,277,---,67kgMen,Total,596,False
6,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",63.05,A,118,148,266,---,67kgMen,Total,596,False
7,MENDEZ DIAZ Jose Alexander,ESA,"Sep 02, 2000",65.55,A,110,140,250,---,67kgMen,Total,596,False
1,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",73.00,A,147,151,154,154,73kgMen,Snatch,596,False
2,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",72.90,A,-150,150,153,153,73kgMen,Snatch,596,False
