rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BUSTILLO OROZCO Freddy Andres,COL,"Dec 01, 2007",48.31,A,82,85,87,87,49kgMen,Snatch,600,False
2,AL OJAIAN Mohammed Nawaf,KSA,"Jun 20, 2009",48.96,A,82,- 86,87,87,49kgMen,Snatch,600,False
3,DI MARIA Christian,ITA,"Mar 06, 2010",48.11,A,- 83,83,86,86,49kgMen,Snatch,600,False
4,MORENO SANTIAGO Juan Jose,ESP,"Nov 08, 2007",49.00,A,82,- 85,86,86,49kgMen,Snatch,600,False
5,HEMBROM Babulal,IND,"Jul 10, 2007",49.00,A,83,- 86,86,86,49kgMen,Snatch,600,False
6,BETANCOURT PUSDA Elkin David,ECU,"Feb 08, 2008",48.81,A,78,82,- 86,82,49kgMen,Snatch,600,False
7,IVANOV Rumen,BUL,"Aug 18, 2008",49.00,A,76,- 80,- 81,76,49kgMen,Snatch,600,False
8,WEI Lian-Cheng,TPE,"Aug 11, 2009",48.62,B,60,66,- 69,66,49kgMen,Snatch,600,False
9,LINO LINO Jefferson,PER,"Jan 05, 2009",48.40,B,52,55,58,58,49kgMen,Snatch,600,False
10,ARIAS DEL VALLE Luca Emiliano,CRC,"Feb 27, 2009",48.90,B,52,- 56,- 56,52,49kgMen,Snatch,600,False
---,KIRILOV Isus Rosenov,BUL,"Oct 22, 2008",49.00,A,- 84,- 85,- 85,---,49kgMen,Snatch,600,False
1,BUSTILLO OROZCO Freddy Andres,COL,"Dec 01, 2007",48.31,A,103,107,109,109,49kgMen,CleanJerk,600,False
2,AL OJAIAN Mohammed Nawaf,KSA,"Jun 20, 2009",48.96,A,101,105,108,108,49kgMen,CleanJerk,600,False
3,HEMBROM Babulal,IND,"Jul 10, 2007",49.00,A,103,105,107,107,49kgMen,CleanJerk,600,False
4,DI MARIA Christian,ITA,"Mar 06, 2010",48.11,A,100,104,-107,104,49kgMen,CleanJerk,600,False
5,BETANCOURT PUSDA Elkin David,ECU,"Feb 08, 2008",48.81,A,-103,104,-108,104,49kgMen,CleanJerk,600,False
