rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MORENO SANTIAGO Juan Jose,ESP,"Nov 08, 2007",48.80,A,83,- 86,87,87,49kgMen,Snatch,602,False
2,CAMBEI Lucian Florin,ROU,"Feb 12, 2008",48.85,A,80,- 85,85,85,49kgMen,Snatch,602,False
3,MOTSKIN Aliaksandr,AIN,"Apr 17, 2007",49.00,A,83,- 86,- 87,83,49kgMen,Snatch,602,False
4,VARDANYAN Spandar,ARM,"Jan 27, 2007",48.75,A,80,- 84,- 84,80,49kgMen,Snatch,602,False
5,TSILIMIGKAKIS Christos,GRE,"Jun 10, 2008",48.95,A,52,55,58,58,49kgMen,Snatch,602,False
1,MORENO SANTIAGO Juan Jose,ESP,"Nov 08, 2007",48.80,A,101,104,106,106,49kgMen,CleanJerk,602,False
2,CAMBEI Lucian Florin,ROU,"Feb 12, 2008",48.85,A,100,-105,106,106,49kgMen,CleanJerk,602,False
3,MOTSKIN Aliaksandr,AIN,"Apr 17, 2007",49.00,A,95,103,-106,103,49kgMen,CleanJerk,602,False
4,VARDANYAN Spandar,ARM,"Jan 27, 2007",48.75,A,99,-107,-107,99,49kgMen,CleanJerk,602,False
5,TSILIMIGKAKIS Christos,GRE,"Jun 10, 2008",48.95,A,68,71,74,74,49kgMen,CleanJerk,602,False
1,MORENO SANTIAGO Juan Jose,ESP,"Nov 08, 2007",48.80,A,87,106,193,---,49kgMen,Total,602,False
2,CAMBEI Lucian Florin,ROU,"Feb 12, 2008",48.85,A,85,106,191,---,49kgMen,Total,602,False
3,MOTSKIN Aliaksandr,AIN,"Apr 17, 2007",49.00,A,83,103,186,---,49kgMen,Total,602,False
4,VARDANYAN Spandar,ARM,"Jan 27, 2007",48.75,A,80,99,179,---,49kgMen,Total,602,False
5,TSILIMIGKAKIS Christos,GRE,"Jun 10, 2008",48.95,A,58,74,132,---,49kgMen,Total,602,False
1,DOROBETE Ion Daniel,ROU,"Nov 18, 2007",55.00,A,94,98,100,100,55kgMen,Snatch,602,False
2,SECRIERU Danu,MDA,"Feb 24, 2008",54.75,A,93,97,99,99,55kgMen,Snatch,602,False
3,YILMAZ Ramazan Efe,TUR,"Sep 11, 2008",55.00,A,93,96,98,98,55kgMen,Snatch,602,False
4,PAPOLTI Narcis,ROU,"Feb 09, 2007",55.00,A,96,- 99,-100,96,55kgMen,Snatch,602,False
5,PILATO Ettore Antonio,ITA,"Oct 17, 2007",55.00,A,90,95,- 98,95,55kgMen,Snatch,602,False
6,SARGSYAN Volodya,ARM,"Nov 09, 2007",55.00,A,- 95,95,- 99,95,55kgMen,Snatch,602,False
7,SIMEONOV Nino,BUL,"Apr 10, 2007",55.00,A,94,- 98,-100,94,55kgMen,Snatch,602,False
8,VESELI Andreas,GRE,"Oct 16, 2007",54.55,A,85,90,- 95,90,55kgMen,Snatch,602,False
9,KURT Muammer,TUR,"Feb 25, 2008",54.45,A,82,86,89,89,55kgMen,Snatch,602,False
10,TUSZYNSKI Wiktor,POL,"Mar 06, 2008",54.65,A,- 75,75,- 80,75,55kgMen,Snatch,602,False
11,BAJCI Lubomir,SVK,"Mar 20, 2007",53.90,A,62,64,- 67,64,55kgMen,Snatch,602,False
12,MAKIS Vasileios,GRE,"May 01, 2008",54.25,A,55,60,- 63,60,55kgMen,Snatch,602,False
1,YILMAZ Ramazan Efe,TUR,"Sep 11, 2008",55.00,A,121,123,130,130,55kgMen,CleanJerk,602,False
2,SARGSYAN Volodya,ARM,"Nov 09, 2007",55.00,A,117,122,-126,122,55kgMen,CleanJerk,602,False
3,DOROBETE Ion Daniel,ROU,"Nov 18, 2007",55.00,A,115,118,120,120,55kgMen,CleanJerk,602,False
4,SECRIERU Danu,MDA,"Feb 24, 2008",54.75,A,-117,117,-122,117,55kgMen,CleanJerk,602,False
5,PAPOLTI Narcis,ROU,"Feb 09, 2007",55.00,A,115,-120,-122,115,55kgMen,CleanJerk,602,False
6,SIMEONOV Nino,BUL,"Apr 10, 2007",55.00,A,-111,111,114,114,55kgMen,CleanJerk,602,False
7,PILATO Ettore Antonio,ITA,"Oct 17, 2007",55.00,A,111,-115,-116,111,55kgMen,CleanJerk,602,False
8,KURT Muammer,TUR,"Feb 25, 2008",54.45,A,110,-114,-116,110,55kgMen,CleanJerk,602,False
9,VESELI Andreas,GRE,"Oct 16, 2007",54.55,A,105,-110,-112,105,55kgMen,CleanJerk,602,False
10,TUSZYNSKI Wiktor,POL,"Mar 06, 2008",54.65,A,97,102,-106,102,55kgMen,CleanJerk,602,False
11,BAJCI Lubomir,SVK,"Mar 20, 2007",53.90,A,75,80,83,83,55kgMen,CleanJerk,602,False
12,MAKIS Vasileios,GRE,"May 01, 2008",54.25,A,67,71,73,73,55kgMen,CleanJerk,602,False
1,YILMAZ Ramazan Efe,TUR,"Sep 11, 2008",55.00,A,98,130,228,---,55kgMen,Total,602,False
2,DOROBETE Ion Daniel,ROU,"Nov 18, 2007",55.00,A,100,120,220,---,55kgMen,Total,602,False
3,SARGSYAN Volodya,ARM,"Nov 09, 2007",55.00,A,95,122,217,---,55kgMen,Total,602,False
4,SECRIERU Danu,MDA,"Feb 24, 2008",54.75,A,99,117,216,---,55kgMen,Total,602,False
5,PAPOLTI Narcis,ROU,"Feb 09, 2007",55.00,A,96,115,211,---,55kgMen,Total,602,False
6,SIMEONOV Nino,BUL,"Apr 10, 2007",55.00,A,94,114,208,---,55kgMen,Total,602,False
7,PILATO Ettore Antonio,ITA,"Oct 17, 2007",55.00,A,95,111,206,---,55kgMen,Total,602,False
8,KURT Muammer,TUR,"Feb 25, 2008",54.45,A,89,110,199,---,55kgMen,Total,602,False
9,VESELI Andreas,GRE,"Oct 16, 2007",54.55,A,90,105,195,---,55kgMen,Total,602,False
10,TUSZYNSKI Wiktor,POL,"Mar 06, 2008",54.65,A,75,102,177,---,55kgMen,Total,602,False
11,BAJCI Lubomir,SVK,"Mar 20, 2007",53.90,A,64,83,147,---,55kgMen,Total,602,False
12,MAKIS Vasileios,GRE,"May 01, 2008",54.25,A,60,73,133,---,55kgMen,Total,602,False
1,HOVHANNISYAN Hovhannes,ARM,"May 02, 2007",61.00,A,102,105,107,107,61kgMen,Snatch,602,False
2,BETCA Dan,MDA,"Feb 17, 2008",60.90,A,100,103,-107,103,61kgMen,Snatch,602,False
3,TOMASZEWSKI Maciej,POL,"Jan 02, 2007",60.65,A,95,99,-103,99,61kgMen,Snatch,602,False
4,DONCHEV Dimitar,BUL,"Oct 12, 2007",60.95,A,94,98,-100,98,61kgMen,Snatch,602,False
