rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MEZA Domingo Francisco,ARG,"Dec 19, 2006",54.80,A,-96,96,99,99,55kgMen,Snatch,603,False
2,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",55.00,A,95,98,-100,98,55kgMen,Snatch,603,False
3,HORTIGUERA Bruno,URU,"Sep 06, 2005",54.50,A,92,96,-100,96,55kgMen,Snatch,603,False
4,GRIJALBA SARRIA Yilver Esteban,COL,"Sep 15, 2006",54.50,A,95,-98,-99,95,55kgMen,Snatch,603,False
5,ANDRADE RODRIGUEZ Samuel,COL,"May 17, 2007",54.70,A,95,-98,-98,95,55kgMen,Snatch,603,False
6,JORDAN Elkin,ECU,"Jun 18, 2005",55.00,A,-95,95,-99,95,55kgMen,Snatch,603,False
7,RIOS CHUMBE Nol Jermis,PER,"Aug 21, 2004",55.00,A,90,93,-96,93,55kgMen,Snatch,603,False
8,INUMA ROJAS Michael Angel,PER,"May 22, 2006",54.60,A,-87,-87,87,87,55kgMen,Snatch,603,False
1,MEZA Domingo Francisco,ARG,"Dec 19, 2006",54.80,A,-122,122,125,125,55kgMen,CleanJerk,603,False
2,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",55.00,A,117,120,124,124,55kgMen,CleanJerk,603,False
3,GRIJALBA SARRIA Yilver Esteban,COL,"Sep 15, 2006",54.50,A,115,118,-121,118,55kgMen,CleanJerk,603,False
4,HORTIGUERA Bruno,URU,"Sep 06, 2005",54.50,A,111,115,118,118,55kgMen,CleanJerk,603,False
5,INUMA ROJAS Michael Angel,PER,"May 22, 2006",54.60,A,112,116,-119,116,55kgMen,CleanJerk,603,False
6,JORDAN Elkin,ECU,"Jun 18, 2005",55.00,A,112,116,-119,116,55kgMen,CleanJerk,603,False
7,ANDRADE RODRIGUEZ Samuel,COL,"May 17, 2007",54.70,A,112,-116,116,116,55kgMen,CleanJerk,603,False
8,RIOS CHUMBE Nol Jermis,PER,"Aug 21, 2004",55.00,A,-106,-106,106,106,55kgMen,CleanJerk,603,False
1,MEZA Domingo Francisco,ARG,"Dec 19, 2006",54.80,A,99,125,224,---,55kgMen,Total,603,False
2,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",55.00,A,98,124,222,---,55kgMen,Total,603,False
3,HORTIGUERA Bruno,URU,"Sep 06, 2005",54.50,A,96,118,214,---,55kgMen,Total,603,False
4,GRIJALBA SARRIA Yilver Esteban,COL,"Sep 15, 2006",54.50,A,95,118,213,---,55kgMen,Total,603,False
5,JORDAN Elkin,ECU,"Jun 18, 2005",55.00,A,95,116,211,---,55kgMen,Total,603,False
6,ANDRADE RODRIGUEZ Samuel,COL,"May 17, 2007",54.70,A,95,116,211,---,55kgMen,Total,603,False
7,INUMA ROJAS Michael Angel,PER,"May 22, 2006",54.60,A,87,116,203,---,55kgMen,Total,603,False
8,RIOS CHUMBE Nol Jermis,PER,"Aug 21, 2004",55.00,A,93,106,199,---,55kgMen,Total,603,False
1,GONZALEZ MARMOLEJO Jose Eber,COL,"Jun 19, 2005",60.30,A,119,122,-125,122,61kgMen,Snatch,603,False
2,CHHUM Gabe,USA,"Jan 31, 2004",60.80,A,-120,121,-126,121,61kgMen,Snatch,603,False
3,RINCON NARANJO Santiago,COL,"May 12, 2006",60.80,A,107,-109,110,110,61kgMen,Snatch,603,False
4,TORRES Vasquez Benjamin Aquiles J,CHI,"Jul 23, 2005",60.90,A,102,-106,107,107,61kgMen,Snatch,603,False
5,VARGAS CAMPOS Dionangel David,VEN,"Sep 07, 2007",60.70,A,103,106,-108,106,61kgMen,Snatch,603,False
6,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.10,A,-105,105,-109,105,61kgMen,Snatch,603,False
7,SEPULVEDA ARANEDA Luis Yacier,CHI,"Aug 13, 2008",60.80,A,90,95,97,97,61kgMen,Snatch,603,False
8,RUIZ DIAZ Tobias Ali,ARG,"Feb 20, 2005",60.10,A,95,-100,-100,95,61kgMen,Snatch,603,False
9,NAHSHON Paul,USA,"Oct 14, 2004",60.90,A,86,90,-95,90,61kgMen,Snatch,603,False
1,CHHUM Gabe,USA,"Jan 31, 2004",60.80,A,152,-157,---,152,61kgMen,CleanJerk,603,False
2,GONZALEZ MARMOLEJO Jose Eber,COL,"Jun 19, 2005",60.30,A,133,138,142,142,61kgMen,CleanJerk,603,False
3,RINCON NARANJO Santiago,COL,"May 12, 2006",60.80,A,133,-138,-138,133,61kgMen,CleanJerk,603,False
4,TORRES Vasquez Benjamin Aquiles J,CHI,"Jul 23, 2005",60.90,A,132,-137,-137,132,61kgMen,CleanJerk,603,False
5,VARGAS CAMPOS Dionangel David,VEN,"Sep 07, 2007",60.70,A,125,-131,132,132,61kgMen,CleanJerk,603,False
6,RUIZ DIAZ Tobias Ali,ARG,"Feb 20, 2005",60.10,A,126,-130,131,131,61kgMen,CleanJerk,603,False
7,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.10,A,-130,130,-134,130,61kgMen,CleanJerk,603,False
8,NAHSHON Paul,USA,"Oct 14, 2004",60.90,A,115,120,-125,120,61kgMen,CleanJerk,603,False
9,SEPULVEDA ARANEDA Luis Yacier,CHI,"Aug 13, 2008",60.80,A,110,115,120,120,61kgMen,CleanJerk,603,False
1,CHHUM Gabe,USA,"Jan 31, 2004",60.80,A,121,152,273,---,61kgMen,Total,603,False
2,GONZALEZ MARMOLEJO Jose Eber,COL,"Jun 19, 2005",60.30,A,122,142,264,---,61kgMen,Total,603,False
3,RINCON NARANJO Santiago,COL,"May 12, 2006",60.80,A,110,133,243,---,61kgMen,Total,603,False
4,TORRES Vasquez Benjamin Aquiles J,CHI,"Jul 23, 2005",60.90,A,107,132,239,---,61kgMen,Total,603,False
5,VARGAS CAMPOS Dionangel David,VEN,"Sep 07, 2007",60.70,A,106,132,238,---,61kgMen,Total,603,False
6,RIVERA GAMEZ Abraham Jose,VEN,"Nov 24, 2004",60.10,A,105,130,235,---,61kgMen,Total,603,False
7,RUIZ DIAZ Tobias Ali,ARG,"Feb 20, 2005",60.10,A,95,131,226,---,61kgMen,Total,603,False
8,SEPULVEDA ARANEDA Luis Yacier,CHI,"Aug 13, 2008",60.80,A,97,120,217,---,61kgMen,Total,603,False
9,NAHSHON Paul,USA,"Oct 14, 2004",60.90,A,90,120,210,---,61kgMen,Total,603,False
1,CAICEDO SOLIS Daniel Stiven,COL,"Jan 27, 2004",66.30,A,125,128,131,131,67kgMen,Snatch,603,False
2,MARQUEZ LUCES Fabian Jose,VEN,"Jun 15, 2004",65.90,A,121,127,130,130,67kgMen,Snatch,603,False
3,VERA Darwin,ECU,"Apr 11, 2006",65.90,A,113,117,-120,117,67kgMen,Snatch,603,False
4,RIQUELME Benjamin,CHI,"Jul 30, 2005",65.90,A,107,-112,-114,107,67kgMen,Snatch,603,False
5,KING Marco,CHI,"May 18, 2009",65.10,A,90,94,96,96,67kgMen,Snatch,603,False
---,POLVERINI Dominik Anthony,USA,"Apr 16, 2004",65.70,A,-114,-114,-114,---,67kgMen,Snatch,603,False
1,MARQUEZ LUCES Fabian Jose,VEN,"Jun 15, 2004",65.90,A,155,159,162,162,67kgMen,CleanJerk,603,False
