rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,LI Fabin,CHN,"Jan 15, 1993",61.00,A,137,140,143,143,61kgMen,Snatch,604,False
---,CENIZA John Febuar,PHI,"Feb 07, 1998",60.75,A,-125,-125,-125,---,61kgMen,Snatch,604,False
---,TRINH Van Vinh,VIE,"Dec 17, 1995",60.95,A,-128,-128,-128,---,61kgMen,Snatch,604,False
---,MASSIDDA Sergio,ITA,"Jan 26, 2002",61.00,A,-132,-134,-134,---,61kgMen,Snatch,604,False
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",61.00,A,-135,135,-139,135,61kgMen,Snatch,604,False
---,ERATI Kaimauri,KIR,"Jun 13, 2004",60.60,A,95,-100,100,100,61kgMen,Snatch,604,False
---,MISHVELIDZE Shota,GEO,"Oct 18, 1994",61.00,A,114,121,-128,121,61kgMen,Snatch,604,False
---,BARU Morea,PNG,"Apr 15, 1990",61.00,A,118,-122,-122,118,61kgMen,Snatch,604,False
---,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",60.90,A,126,-130,130,130,61kgMen,Snatch,604,False
---,MORRIS Hampton Miller,USA,"Feb 17, 2004",61.00,A,122,-125,126,126,61kgMen,Snatch,604,False
---,SILACHAI Theerapong,THA,"Nov 19, 2003",60.90,A,127,130,132,132,61kgMen,Snatch,604,False
---,DIMOV Ivan Petkov,BUL,"Dec 04, 2002",61.00,A,-134,-134,-135,---,61kgMen,Snatch,604,False
---,LI Fabin,CHN,"Jan 15, 1993",61.00,A,-167,167,-172,167,61kgMen,CleanJerk,604,False
---,CENIZA John Febuar,PHI,"Feb 07, 1998",60.75,A,---,---,---,---,61kgMen,CleanJerk,604,False
---,TRINH Van Vinh,VIE,"Dec 17, 1995",60.95,A,---,---,---,---,61kgMen,CleanJerk,604,False
---,MASSIDDA Sergio,ITA,"Jan 26, 2002",61.00,A,---,---,---,---,61kgMen,CleanJerk,604,False
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",61.00,A,-162,-162,-165,---,61kgMen,CleanJerk,604,False
---,ERATI Kaimauri,KIR,"Jun 13, 2004",60.60,A,-120,120,-124,120,61kgMen,CleanJerk,604,False
---,MISHVELIDZE Shota,GEO,"Oct 18, 1994",61.00,A,125,135,-150,135,61kgMen,CleanJerk,604,False
---,BARU Morea,PNG,"Apr 15, 1990",61.00,A,150,157,161,161,61kgMen,CleanJerk,604,False
---,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",60.90,A,167,-174,-174,167,61kgMen,CleanJerk,604,False
---,MORRIS Hampton Miller,USA,"Feb 17, 2004",61.00,A,-168,172,-178,172,61kgMen,CleanJerk,604,False
---,SILACHAI Theerapong,THA,"Nov 19, 2003",60.90,A,167,169,171,171,61kgMen,CleanJerk,604,False
---,DIMOV Ivan Petkov,BUL,"Dec 04, 2002",61.00,A,---,---,---,---,61kgMen,CleanJerk,604,False
1,LI Fabin,CHN,"Jan 15, 1993",61.00,A,143,167,310,---,61kgMen,Total,604,False
2,SILACHAI Theerapong,THA,"Nov 19, 2003",60.90,A,132,171,303,---,61kgMen,Total,604,False
