rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BETANCOURT PUSDA Elkin David,ECU,"Feb 08, 2008",48.50,A,73,77,80,80,49kgMen,Snatch,605,False
2,YOO Diego,USA,"Nov 05, 2009",48.90,A,72,75,-78,75,49kgMen,Snatch,605,False
3,LINO LINO Jefferson,PER,"Jan 05, 2009",48.70,A,50,55,-61,55,49kgMen,Snatch,605,False
1,BETANCOURT PUSDA Elkin David,ECU,"Feb 08, 2008",48.50,A,95,100,102,102,49kgMen,CleanJerk,605,False
2,YOO Diego,USA,"Nov 05, 2009",48.90,A,90,96,101,101,49kgMen,CleanJerk,605,False
3,LINO LINO Jefferson,PER,"Jan 05, 2009",48.70,A,65,75,-81,75,49kgMen,CleanJerk,605,False
1,BETANCOURT PUSDA Elkin David,ECU,"Feb 08, 2008",48.50,A,80,102,182,---,49kgMen,Total,605,False
2,YOO Diego,USA,"Nov 05, 2009",48.90,A,75,101,176,---,49kgMen,Total,605,False
3,LINO LINO Jefferson,PER,"Jan 05, 2009",48.70,A,55,75,130,---,49kgMen,Total,605,False
1,PUENTE Jordan,ECU,"Dec 27, 2007",54.70,A,90,94,99,99,55kgMen,Snatch,605,False
2,ZISS Michael,USA,"Aug 31, 2007",54.90,A,88,-92,-92,88,55kgMen,Snatch,605,False
3,MENDEZ Victor,MEX,"Jan 01, 2009",54.20,A,80,84,86,86,55kgMen,Snatch,605,False
4,RETO FASABI Kevin Jarry,PER,"Nov 09, 2007",54.50,A,80,83,85,85,55kgMen,Snatch,605,False
5,YEOGUSUKU Stephano,PER,"Aug 21, 2010",54.20,A,55,60,63,63,55kgMen,Snatch,605,False
1,PUENTE Jordan,ECU,"Dec 27, 2007",54.70,A,111,115,118,118,55kgMen,CleanJerk,605,False
2,ZISS Michael,USA,"Aug 31, 2007",54.90,A,110,114,117,117,55kgMen,CleanJerk,605,False
3,MENDEZ Victor,MEX,"Jan 01, 2009",54.20,A,110,113,116,116,55kgMen,CleanJerk,605,False
4,RETO FASABI Kevin Jarry,PER,"Nov 09, 2007",54.50,A,100,-105,105,105,55kgMen,CleanJerk,605,False
5,YEOGUSUKU Stephano,PER,"Aug 21, 2010",54.20,A,68,-73,73,73,55kgMen,CleanJerk,605,False
1,PUENTE Jordan,ECU,"Dec 27, 2007",54.70,A,99,118,217,---,55kgMen,Total,605,False
2,ZISS Michael,USA,"Aug 31, 2007",54.90,A,88,117,205,---,55kgMen,Total,605,False
3,MENDEZ Victor,MEX,"Jan 01, 2009",54.20,A,86,116,202,---,55kgMen,Total,605,False
4,RETO FASABI Kevin Jarry,PER,"Nov 09, 2007",54.50,A,85,105,190,---,55kgMen,Total,605,False
5,YEOGUSUKU Stephano,PER,"Aug 21, 2010",54.20,A,63,73,136,---,55kgMen,Total,605,False
1,ERAZO Jose,ECU,"Jul 26, 2008",61.00,A,90,92,94,94,61kgMen,Snatch,605,False
2,WEBB Derrick Santiago,ARU,"Mar 10, 2007",61.00,A,-85,87,91,91,61kgMen,Snatch,605,False
1,ERAZO Jose,ECU,"Jul 26, 2008",61.00,A,110,---,---,110,61kgMen,CleanJerk,605,False
---,WEBB Derrick Santiago,ARU,"Mar 10, 2007",61.00,A,---,---,---,---,61kgMen,CleanJerk,605,False
1,ERAZO Jose,ECU,"Jul 26, 2008",61.00,A,94,110,204,---,61kgMen,Total,605,False
---,WEBB Derrick Santiago,ARU,"Mar 10, 2007",61.00,A,91,---,---,---,61kgMen,Total,605,False
1,LOPEZ Jimmy,ECU,"May 15, 2007",66.45,A,105,109,-114,109,67kgMen,Snatch,605,False
2,REYES PALACIOS Maximiliano,MEX,"May 15, 2007",66.90,A,102,106,108,108,67kgMen,Snatch,605,False
3,LUDBROOK Henry,USA,"Apr 16, 2007",66.80,A,98,102,105,105,67kgMen,Snatch,605,False
4,BRAVO ALVARADO Oswaldo,MEX,"Feb 19, 2007",65.50,A,-105,-105,105,105,67kgMen,Snatch,605,False
5,SEPULVEDA ARANEDA Luis Yacier,CHI,"Aug 13, 2008",64.45,A,93,-98,99,99,67kgMen,Snatch,605,False
6,FERNANDEZ Jose,PER,"Aug 03, 2007",65.35,A,90,94,98,98,67kgMen,Snatch,605,False
1,LOPEZ Jimmy,ECU,"May 15, 2007",66.45,A,135,140,146,146,67kgMen,CleanJerk,605,False
2,BRAVO ALVARADO Oswaldo,MEX,"Feb 19, 2007",65.50,A,131,137,-142,137,67kgMen,CleanJerk,605,False
3,REYES PALACIOS Maximiliano,MEX,"May 15, 2007",66.90,A,130,136,-141,136,67kgMen,CleanJerk,605,False
4,LUDBROOK Henry,USA,"Apr 16, 2007",66.80,A,124,-130,-132,124,67kgMen,CleanJerk,605,False
5,SEPULVEDA ARANEDA Luis Yacier,CHI,"Aug 13, 2008",64.45,A,115,120,-125,120,67kgMen,CleanJerk,605,False
6,FERNANDEZ Jose,PER,"Aug 03, 2007",65.35,A,110,115,117,117,67kgMen,CleanJerk,605,False
1,LOPEZ Jimmy,ECU,"May 15, 2007",66.45,A,109,146,255,---,67kgMen,Total,605,False
2,REYES PALACIOS Maximiliano,MEX,"May 15, 2007",66.90,A,108,136,244,---,67kgMen,Total,605,False
3,BRAVO ALVARADO Oswaldo,MEX,"Feb 19, 2007",65.50,A,105,137,242,---,67kgMen,Total,605,False
4,LUDBROOK Henry,USA,"Apr 16, 2007",66.80,A,105,124,229,---,67kgMen,Total,605,False
