total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,TALAKHADZE Lasha,16322,1993-10-02,30.8,M,GEO,A,178.45,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,210,215,-220,215,247,255,NA,255,470
2,NA,NA,LALAYAN Varazdat,9152,1999-05-01,25.3,M,ARM,A,153.15,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,210,215,-218,215,247,252,-256,252,467
3,NA,NA,MINASYAN Gor,11000,1994-10-25,29.8,M,BRN,A,153.85,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,210,216,-220,216,245,-255,-255,245,461
4,NA,NA,DAVOUDI Ali,4069,1999-03-22,25.4,M,IRI,A,179,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-200,201,205,205,242,-257,-257,242,447
5,NA,NA,ASAAD Man,1471,1993-11-20,30.7,M,SYR,A,161.45,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,191,197,-201,197,235,241,-253,241,438
6,NA,NA,RUBAIAWI Ali Ammar Yusur,14402,2004-08-02,20,M,IRQ,A,134.85,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-195,195,200,200,230,237,-247,237,437
7,NA,NA,ELSAYED Abdelrahman Mohamed A. A.,4802,1989-05-19,35.2,M,EGY,A,138.4,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,178,183,-190,183,225,-233,233,233,416
8,NA,NA,LITI David Andrew,9644,1996-07-11,28.1,M,NZL,A,175.95,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,178,182,184,184,224,231,-235,231,415
9,NA,NA,SEIM Mart,15104,1990-10-24,33.8,M,EST,A,152.8,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,175,180,-183,180,220,-237,-237,220,400
10,NA,NA,MURAKAMI Eishiro,11577,1995-08-08,29,M,JPN,A,143.6,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,170,-180,180,180,200,220,-230,220,400
11,NA,NA,KUCERA Kamil,8932,1985-03-19,39.4,M,CZE,A,141.9,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,100,110,NA,110,120,140,NA,140,250
NA,NA,NA,BIDANI Walid,2284,1994-06-11,30.2,M,ALG,A,146.65,+102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-190,-190,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,LI Wenwen,9494,2000-03-05,24.4,W,CHN,A,149.25,+81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,130,136,NA,136,167,173,-174,173,309
